trade_id,ticker,entry_date,exit_date,score,pnl_pct,capital,exit_value,closed_date,Year
1,AMT,2018-10-29,2018-10-30,5,0.04,2000.0,2080.0,2018-10-30,2018
3,AMT,2018-11-01,2018-11-01,4,-0.02,2016.0,1975.68,2018-11-02,2018
2,DUK,2018-10-29,2018-11-05,5,0.0181507922724326,2000.0,2036.3015845448654,2018-11-05,2018
4,WMT,2018-11-01,2018-11-07,4,0.04,2016.0,2096.64,2018-11-07,2018
5,ORCL,2018-11-20,2018-11-27,4,-0.0200000000000001,2031.3243169089733,1990.6978305707935,2018-11-27,2018
6,AMT,2018-11-21,2018-11-29,5,0.013326849446648,2031.3243169089733,2058.3954702577344,2018-11-29,2018
7,KO,2018-11-21,2018-11-29,5,0.0027891384250613,2031.3243169089737,2036.989961615026,2018-11-29,2018
8,JNJ,2018-11-23,2018-11-29,4,0.04,2031.3243169089737,2112.577289585333,2018-11-29,2018
9,PEP,2018-12-04,2018-12-06,4,-0.0200000000000001,2045.996973787572,2005.0770343118202,2018-12-06,2018
11,UNH,2018-12-06,2018-12-06,4,-0.02,2037.8129858924215,1997.056726174573,2018-12-07,2018
10,MSFT,2018-12-06,2018-12-11,4,0.04,2037.8129858924215,2119.325505328118,2018-12-11,2018
12,MRK,2018-12-17,2018-12-18,5,-0.02,2045.964237835991,2005.0449530792712,2018-12-18,2018
13,LLY,2018-12-17,2018-12-17,4,-0.02,2045.964237835991,2005.0449530792712,2018-12-18,2018
14,PEP,2018-12-17,2018-12-18,4,-0.02,2045.964237835991,2005.0449530792712,2018-12-18,2018
17,KO,2018-12-18,2018-12-19,4,-0.0199999999999999,2021.412666981959,1980.98441364232,2018-12-19,2018
16,DUK,2018-12-18,2018-12-20,4,-0.02,2021.412666981959,1980.9844136423199,2018-12-20,2018
18,NEE,2018-12-18,2018-12-20,4,-0.02,2021.412666981959,1980.9844136423199,2018-12-20,2018
15,AMT,2018-12-18,2018-12-21,4,-0.02,2021.412666981959,1980.9844136423199,2018-12-21,2018
19,AVGO,2018-12-20,2018-12-20,4,-0.0199999999999999,1997.1557149781759,1957.2126006786125,2018-12-21,2018
20,ABBV,2019-01-03,2019-01-03,4,-0.02,1981.0814414503352,1941.4598126213284,2019-01-04,2019
22,AMD,2019-01-11,2019-01-11,4,0.04,1973.157115684534,2052.0834003119153,2019-01-12,2019
21,ABBV,2019-01-10,2019-01-14,4,-0.02,1973.157115684534,1933.6939733708432,2019-01-14,2019
23,LOW,2019-01-16,2019-01-17,4,-0.02,1981.049744147272,1941.4287492643264,2019-01-17,2019
26,MS,2019-01-23,2019-01-23,4,-0.0200000000000001,1973.125545170683,1933.663034267269,2019-01-24,2019
25,COP,2019-01-23,2019-01-28,4,-0.0200000000000001,1973.125545170683,1933.663034267269,2019-01-28,2019
24,LLY,2019-01-22,2019-01-29,4,0.0001731126191732,1973.125545170683,1973.4671181017652,2019-01-29,2019
27,BAC,2019-02-01,2019-02-07,4,-0.02,1957.4088553955335,1918.2606782876228,2019-02-07,2019
28,GS,2019-02-01,2019-02-07,4,-0.02,1957.4088553955335,1918.2606782876228,2019-02-07,2019
30,COP,2019-02-08,2019-02-08,5,-0.02,1941.7495845523692,1902.9145928613218,2019-02-09,2019
32,GE,2019-02-11,2019-02-13,4,0.04,1933.98258621416,2011.3418896627263,2019-02-13,2019
29,GOOGL,2019-02-07,2019-02-14,4,0.0156320915235157,1941.7495845523692,1972.1031917738405,2019-02-14,2019
31,ORCL,2019-02-08,2019-02-15,5,0.0325413679634969,1941.7495845523692,2004.9367722762552,2019-02-15,2019
33,UNH,2019-02-11,2019-02-19,4,0.04,1933.98258621416,2011.3418896627263,2019-02-19,2019
34,WMT,2019-02-21,2019-02-27,4,-0.02,1983.6344665826582,1943.961777251005,2019-02-27,2019
37,LOW,2019-03-01,2019-03-01,4,-0.02,1975.699928716328,1936.1859301420013,2019-03-02,2019
35,CAT,2019-02-27,2019-03-06,5,-0.02,1975.6999287163276,1936.185930142001,2019-03-06,2019
36,HD,2019-02-28,2019-03-07,4,-0.0059367160310161,1975.6999287163276,1963.97075927704,2019-03-07,2019
39,ADBE,2019-03-05,2019-03-07,4,-0.02,1967.7971290014627,1928.4411864214335,2019-03-07,2019
40,AMZN,2019-03-08,2019-03-11,4,0.04,1949.6773068827338,2027.6643991580431,2019-03-11,2019
38,MCD,2019-03-05,2019-03-12,5,0.0068105602919279,1967.7971290014627,1981.1989299908098,2019-03-12,2019
41,AVGO,2019-03-08,2019-03-13,4,0.04,1949.6773068827338,2027.6643991580431,2019-03-13,2019
42,LLY,2019-03-12,2019-03-13,4,0.04,1967.9550855356651,2046.673288957092,2019-03-13,2019
44,META,2019-03-18,2019-03-18,4,-0.02,1999.296144675012,1959.310221781512,2019-03-19,2019
46,MS,2019-03-21,2019-03-22,5,-0.02,1991.298960096312,1951.4729808943857,2019-03-22,2019
47,BAC,2019-03-21,2019-03-22,4,-0.02,1991.298960096312,1951.4729808943857,2019-03-22,2019
43,ADBE,2019-03-18,2019-03-25,4,0.0200692464551843,1999.296144675012,2039.420511739395,2019-03-25,2019
45,META,2019-03-19,2019-03-26,4,0.04,1991.298960096312,2070.9509185001643,2019-03-26,2019
50,AAPL,2019-03-25,2019-03-25,4,-0.02,1983.3934418284182,1943.7255729918497,2019-03-26,2019
48,MA,2019-03-25,2019-04-01,5,0.04,1983.3934418284182,2062.729179501555,2019-04-01,2019
49,MSFT,2019-03-25,2019-04-01,5,0.0211048646598326,1983.3934418284182,2025.2526919854065,2019-04-01,2019
51,AMD,2019-03-28,2019-04-01,4,0.04,1991.390259741875,2071.04587013155,2019-04-01,2019
52,AMT,2019-04-02,2019-04-09,5,0.0192746713977212,2031.5603793858347,2070.7180381231265,2019-04-09,2019
53,CRM,2019-04-05,2019-04-12,4,0.0067654828267267,2031.5603793858347,2045.304866244028,2019-04-12,2019
54,GS,2019-04-16,2019-04-17,5,0.04,2042.140808504932,2123.8264408451296,2019-04-17,2019
56,CAT,2019-04-25,2019-04-25,4,-0.02,2058.477934972972,2017.3083762735125,2019-04-26,2019
55,LOW,2019-04-22,2019-04-29,5,-0.0200000000000001,2058.477934972972,2017.3083762735123,2019-04-29,2019
57,XOM,2019-04-29,2019-05-02,4,-0.0199999999999999,2042.010111493188,2001.1699092633246,2019-05-02,2019
60,MA,2019-05-02,2019-05-06,4,-0.02,2033.8420710472155,1993.1652296262712,2019-05-06,2019
61,NKE,2019-05-02,2019-05-06,4,-0.02,2033.8420710472155,1993.1652296262712,2019-05-06,2019
58,MSFT,2019-05-02,2019-05-07,5,-0.02,2033.8420710472155,1993.1652296262712,2019-05-07,2019
59,HD,2019-05-02,2019-05-07,4,-0.02,2033.8420710472155,1993.1652296262712,2019-05-07,2019
64,AAPL,2019-05-08,2019-05-09,4,-0.02,2001.3005979104598,1961.2745859522506,2019-05-09,2019
62,ADBE,2019-05-08,2019-05-13,5,-0.0199999999999999,2001.3005979104598,1961.2745859522508,2019-05-13,2019
65,BLK,2019-05-08,2019-05-13,4,-0.02,2001.3005979104594,1961.2745859522502,2019-05-13,2019
63,MSFT,2019-05-08,2019-05-15,5,0.0083421501184379,2001.3005979104598,2017.9957479303487,2019-05-15,2019
66,AMT,2019-05-21,2019-05-29,5,0.0082716611987105,1980.6240207395122,1997.0070716010973,2019-05-29,2019
67,MA,2019-05-24,2019-06-03,5,-0.02,1980.6240207395122,1941.0115403247219,2019-06-03,2019
68,UNH,2019-05-29,2019-06-04,5,-0.02,1983.900630911829,1944.2226182935924,2019-06-04,2019
69,MCD,2019-06-11,2019-06-18,4,0.0109244707590097,1968.0425323052239,1989.5423554018796,2019-06-18,2019
72,NFLX,2019-06-26,2019-07-01,5,0.04,1972.342496924555,2051.236196801537,2019-07-01,2019
70,ADBE,2019-06-26,2019-07-03,5,0.04,1972.342496924555,2051.236196801537,2019-07-03,2019
71,MSFT,2019-06-26,2019-07-03,5,0.0231481290016613,1972.342496924555,2017.9985354788234,2019-07-03,2019
73,DUK,2019-06-27,2019-07-05,5,0.0182808458944463,1972.342496924555,2008.3985861619003,2019-07-05,2019
74,AVGO,2019-07-05,2019-07-08,5,-0.02,2020.2424024336703,1979.837554384997,2019-07-08,2019
78,PFE,2019-07-12,2019-07-12,4,-0.02,2012.1614328239355,1971.9182041674567,2019-07-13,2019
75,AAPL,2019-07-09,2019-07-16,5,0.0266065053441424,2012.1614328239355,2065.6980167396428,2019-07-16,2019
76,GE,2019-07-09,2019-07-16,4,0.0256917355469736,2012.1614328239355,2063.8573522338675,2019-07-16,2019
77,PLD,2019-07-12,2019-07-16,5,-0.02,2012.1614328239355,1971.9182041674567,2019-07-16,2019
80,UNH,2019-07-19,2019-07-22,5,-0.02,2017.1106420264714,1976.7684291859418,2019-07-22,2019
79,UPS,2019-07-18,2019-07-24,4,0.04,2017.1106420264714,2097.7950677075305,2019-07-24,2019
81,BA,2019-07-19,2019-07-24,4,-0.02,2017.1106420264714,1976.7684291859418,2019-07-24,2019
82,BA,2019-07-25,2019-07-25,4,-0.0199999999999999,2017.1106420264714,1976.768429185942,2019-07-26,2019
83,CRM,2019-07-30,2019-08-01,4,-0.0200000000000001,2009.0421994583658,1968.861355469198,2019-08-01,2019
85,LOW,2019-08-01,2019-08-01,4,-0.02,2001.006030660532,1960.9859100473213,2019-08-02,2019
86,MA,2019-08-01,2019-08-02,4,-0.0200000000000001,2001.006030660532,1960.985910047321,2019-08-02,2019
88,ORCL,2019-08-01,2019-08-02,4,-0.02,2001.006030660532,1960.9859100473213,2019-08-02,2019
84,KO,2019-08-01,2019-08-05,5,-0.02,2001.006030660532,1960.9859100473213,2019-08-05,2019
87,MSFT,2019-08-01,2019-08-05,4,-0.02,2001.006030660532,1960.9859100473213,2019-08-05,2019
