Ticker,Signal_Date,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Entry_Value,Exit_Value,PnL,PnL_Pct,Score,Signal_Drop,Exit_Reason,Holding_Days,Distance_SMA20,Distance_SMA50,Distance_SMA200,Return_3D,Return_5D,Return_10D,ATR_Pct,Drop_ATR_Ratio,Volume_Ratio,Negative_Days_5,SPY_Return,SPY_Distance_SMA50,SPY_Volume_Ratio
AAPL,2018-04-19,2018-04-20,2018-04-20,40.00712620479609,39.20698368070016,49.991093830684555,2000.0,1960.0,-40.0,-0.02,5,-0.02833991877216857,SL,0,0.008659563275708049,0.002593356498085786,,-0.01717671294585965,-0.007694916045865363,0.0,0.020639071822000535,1.373119829059328,1.0927644943835746,2.0,-0.005547789380302759,0.004008095136094347,0.6837311167747354
XOM,2018-04-27,2018-04-30,2018-05-01,53.51200094320018,52.44176092433617,37.22529460474465,1992.0,1952.16,-39.83999999999992,-0.01999999999999996,5,-0.03796695680102247,SL,0,0.004383420695953211,0.023119139189045512,,-0.007147690584170752,-0.015316119495512481,-0.0006420867569874034,0.020779355703967568,1.8271479319146133,1.2073058146662825,2.0,0.0009388084984724987,-0.005528379536243189,0.595460735938855
LLY,2018-04-30,2018-05-01,2018-05-01,71.78807329412021,70.3523118282378,27.679958141715215,1987.0908638556314,1947.3490465785185,-39.74181727711289,-0.02000000000000013,5,-0.020065415403775044,SL,0,0.01830097501530714,0.03216028443875074,,-0.0008629346732245136,0.010847680657829484,0.01185711150044777,0.01760383551419054,1.1398320205616677,1.3668019302478613,2.0,-0.0076905287135391465,-0.012628939989374088,0.9069992046044869
NVDA,2018-05-15,2018-05-16,2018-05-23,6.028812321677307,6.120059490203857,327.7732878562723,1976.0836365445773,2005.9920209801,29.90838443552275,0.015135181468240482,5,-0.03837673514346873,TIME,5,0.03869347317189975,0.04098097058470884,,-0.05601008906871896,-0.019328685613308805,0.08109613347768141,0.028547003983614268,1.3443349489668563,1.8117033954490431,2.0,-0.006886904892513757,0.014361420060607477,1.1097981113587712
CRM,2018-05-17,2018-05-18,2018-05-25,123.91618459383409,125.78388977050781,15.97229519925435,1979.225880298012,2009.0574187250204,29.831538427008354,0.015072326369598916,5,-0.021122941276736862,TIME,5,0.01052212885453141,0.029251865611395367,,-0.01284351842419229,-0.034986909269729694,0.0131822546538376,0.020337749334412344,1.0386076123475443,1.3423678044302727,2.0,-0.000844976668393338,0.017707873066721502,0.7323261157139873
ABBV,2018-05-24,2018-05-25,2018-05-25,72.2290926617395,70.7845108085047,27.523973344471553,1988.031621117084,1948.270988694742,-39.760632422341814,-0.02000000000000007,5,-0.02329590549526306,SL,0,0.004763598711172934,0.04604549328801166,,-0.029088060469479426,-0.020699149240837267,0.0028196123579280474,0.01959901413652185,1.1886263938068304,1.6919244009441208,2.0,-0.002048563909076373,0.02177397646076873,1.0785196539889264
BA,2018-05-29,2018-05-30,2018-06-06,342.3041158899665,355.99628052556517,5.78456233131918,1980.0794946326155,2059.28267441792,79.20317978530466,0.04000000000000002,5,-0.021133695136004493,TP,4,0.023189992455284525,0.04923907422100071,,-0.018735628013918704,-0.03143565762551315,0.022896615664963482,0.01957102619145722,1.0798460402260042,1.0829544759535994,3.0,-0.011500967801831963,0.00813946485561523,1.60627339724275
ADBE,2018-06-07,2018-06-08,2018-06-13,246.86000061035156,256.7344006347656,8.085231004029989,1995.9201305896765,2075.7569358132637,79.83680522358713,0.040000000000000036,5,-0.025359332619794395,TP,2,0.014900998206653027,0.06754456717043533,,-0.02301255986156625,-0.007100466467941713,0.014759504697124504,0.019116108354781013,1.3265949402014101,1.6122851082507217,2.0,-0.0001079634529358442,0.034575190895689945,1.0896636925537218
AVGO,2018-06-08,2018-06-11,2018-06-14,20.629796559678784,21.454988422065934,97.07389479488054,2002.6147008740468,2082.719288909009,80.10458803496203,0.040000000000000084,5,-0.02535088437517541,TP,2,0.03839519128337776,0.06974943692093305,,-0.004975411228230309,0.00635897769758742,0.059294854380613105,0.018587336275655255,1.3638793638429356,2.380616264777094,1.0,0.002956333554713586,0.03621450190061637,1.0772126834182845
ADBE,2018-06-15,2018-06-18,2018-06-22,250.52000427246094,245.50960418701172,8.094796322276407,2027.9084092413866,1987.3502410565588,-40.558168184827764,-0.020000000000000014,5,-0.024331649092554364,SL,3,0.01414988270689066,0.06631822703331736,,-0.0030483749350146416,0.0024282496478986726,0.0020294050001177233,0.01936757024137857,1.256308808451878,2.7143403269693493,2.0,-0.0012754671081528501,0.03060393317727672,1.6734837496912098
META,2018-06-25,2018-06-26,2018-06-28,195.87986297661615,191.96226571708382,10.311405904166582,2019.7967756044209,1979.4008400923324,-40.3959355120885,-0.020000000000000042,5,-0.026717477457130823,SL,1,0.012003918499566169,0.0695738375475603,,-0.02797028918317046,-0.009883331973692733,0.025112406156760914,0.021015674120889262,1.2713119409562055,1.3388369777099753,3.0,-0.013612605250130083,0.002263626543745234,1.8017721526266908
AMT,2018-07-09,2018-07-10,2018-07-17,114.284093014623,114.82524871826172,17.602778614558353,2011.7175885020033,2021.2434325491613,9.525844047157989,0.0047351795806742794,5,-0.024895393518418074,TIME,5,0.004414295360942955,0.02529163027527792,,-0.00594277508219021,-0.013803216399845497,-0.004481326801851648,0.015297522525045563,1.6274134244717462,1.0930604428149677,2.0,0.009004437141332033,0.02322996396926058,0.6726183942044837
DUK,2018-07-09,2018-07-10,2018-07-17,56.412768309518455,58.016971588134766,35.76350178736324,2017.5181402675717,2074.89006708966,57.371926822088426,0.028436882760558238,5,-0.03651048157915071,TIME,5,0.020397539538495435,0.026832827353374,,-0.014659684611536994,-0.005563970438146382,0.015627078114433868,0.016085912747895486,2.2697177431804336,1.1141663843561218,1.0,0.009004437141332033,0.02322996396926058,0.6726183942044837
NEE,2018-07-09,2018-07-10,2018-07-17,33.414289066873074,34.61201858520508,60.5482908098661,2023.1780916259604,2095.6985668134876,72.52047518752715,0.03584483021425211,5,-0.029299578583322217,TIME,5,0.008380696723786718,0.02352921906293237,,-0.01922167753469639,-0.010237855266134188,0.006207716503661143,0.014033326400149591,2.087856987564252,1.1819249864197374,3.0,0.009004437141332033,0.02322996396926058,0.6726183942044837
MA,2018-07-26,2018-07-27,2018-07-27,202.31615440569357,198.2698313175797,10.081257444343553,2039.601237713358,1998.809212959091,-40.792024754267004,-0.019999999999999924,5,-0.03170520401646171,SL,0,0.017706914312300093,0.04169589191863676,,-0.002261432992171075,0.006357173379181402,-0.0019736289061292878,0.018007883979973945,1.760629069563096,2.3330171325287306,1.0,-0.002359424977998348,0.02962646004258418,0.9402105654801762
