Window,Train_Start,Train_End,Test_Start,Test_End,Factor_A,Factor_B,Train_Q_A,Train_Q_B,Train_Avg_A,Train_Avg_B,Test_Trades,Test_Win_Rate,Test_Avg_PnL,Test_Sum_PnL
1,2018-01-01,2021-01-01,2021-01-01,2022-01-01,Distance_SMA20,Distance_SMA50,Q3,Q3,0.0024504372335092946,0.003219517229129564,23,0.2608695652173913,-0.0044099309050040425,-0.10142841081509298
1,2018-01-01,2021-01-01,2021-01-01,2022-01-01,Distance_SMA20,Return_3D,Q3,Q1,0.0024504372335092946,0.005332082329512959,10,0.3,-0.00303801172152956,-0.0303801172152956
1,2018-01-01,2021-01-01,2021-01-01,2022-01-01,Distance_SMA20,SPY_Return,Q3,Q2,0.0024504372335092946,0.0045734466572701984,21,0.47619047619047616,0.002822243977391419,0.0592671235252198
1,2018-01-01,2021-01-01,2021-01-01,2022-01-01,Distance_SMA20,Drop_ATR_Ratio,Q3,Q3,0.0024504372335092946,0.005113892226883157,21,0.42857142857142855,0.00205917518179599,0.04324267881771579
1,2018-01-01,2021-01-01,2021-01-01,2022-01-01,Distance_SMA20,SPY_Distance_SMA50,Q3,Q3,0.0024504372335092946,0.005619487456261902,12,0.3333333333333333,-0.0008650097679413004,-0.010380117215295605
1,2018-01-01,2021-01-01,2021-01-01,2022-01-01,Distance_SMA50,Return_3D,Q3,Q1,0.003219517229129564,0.005332082329512959,15,0.4666666666666667,0.004926980799911927,0.0739047119986789
1,2018-01-01,2021-01-01,2021-01-01,2022-01-01,Distance_SMA50,SPY_Return,Q3,Q2,0.003219517229129564,0.0045734466572701984,19,0.42105263157894735,0.0005861022986994793,0.011135943675290107
1,2018-01-01,2021-01-01,2021-01-01,2022-01-01,Distance_SMA50,Drop_ATR_Ratio,Q3,Q3,0.003219517229129564,0.005113892226883157,22,0.4090909090909091,0.0025178603726506636,0.0553929281983146
1,2018-01-01,2021-01-01,2021-01-01,2022-01-01,Distance_SMA50,SPY_Distance_SMA50,Q3,Q3,0.003219517229129564,0.005619487456261902,15,0.5333333333333333,0.0016388604920240062,0.02458290738036009
1,2018-01-01,2021-01-01,2021-01-01,2022-01-01,Return_3D,SPY_Return,Q1,Q2,0.005332082329512959,0.0045734466572701984,20,0.5,0.005855396349830655,0.1171079269966131
