Sector,Trades,Win_Rate,Avg_PnL,Median_PnL,Avg_Drop,Avg_ATR,Avg_Volume,Avg_Drop_ATR
Communication,109,48.62385321100918,0.5998815636899824,-1.5606424648606954,-3.2014804622731696,2.794297101678451,1.4018375645199495,1.1680518268875584
Consumer,137,41.605839416058394,0.34761322227695474,-1.999999999999991,-3.5730924325545192,3.270364844090475,1.3133092221514655,1.1364768165471923
Consumer Staples,64,48.4375,0.40157429919366155,-0.20531746273988455,-2.8990229884696106,1.9724022529585572,1.529565124477916,1.5048868931421542
Energy,101,41.584158415841586,0.3357861726195187,-2.0000000000000018,-3.0369643708631076,2.7549629314767805,1.282391799609903,1.1502923191046086
Financials,147,38.095238095238095,-0.07297576079704647,-1.999999999999991,-2.909799101328139,2.2883321567023573,1.3950403086751995,1.3205915213852053
Healthcare,105,44.761904761904766,0.38888248769639727,-1.999999999999991,-2.987820742316956,2.5442609295958833,1.4318222890440127,1.2226901186751453
Industrials,130,39.23076923076923,0.22306742534353094,-1.999999999999991,-3.1301313284250467,2.7003408149463954,1.404359938574128,1.1953820919703133
Real Estate,35,28.57142857142857,-0.3011111674712712,-2.0000000000000018,-2.958914438171519,2.559981695896488,1.552590054934899,1.1566853200849476
Technology,276,41.30434782608695,0.37520522447240784,-1.999999999999991,-3.653135718606752,3.637472389093381,1.358307989653645,1.073505856794909
Utilities,34,41.17647058823529,-0.24796691385810263,-2.0000000000000018,-2.8060963287660066,2.25940299376435,1.562621708439454,1.2503100625953323
