Group,Year,N,Tickers,Dates
BASELINE,2018,11186,47,238
BASELINE,2019,11844,47,252
BASELINE,2020,11891,47,253
BASELINE,2021,11844,47,252
BASELINE,2022,11797,47,251
BASELINE,2023,11750,47,250
BASELINE,2024,11844,47,252
BASELINE,2025,10951,47,233
BASELINE_COMPRESSION_VALID,2018,8554,47,182
BASELINE_COMPRESSION_VALID,2019,11844,47,252
BASELINE_COMPRESSION_VALID,2020,11891,47,253
BASELINE_COMPRESSION_VALID,2021,11844,47,252
BASELINE_COMPRESSION_VALID,2022,11797,47,251
BASELINE_COMPRESSION_VALID,2023,11750,47,250
BASELINE_COMPRESSION_VALID,2024,11844,47,252
BASELINE_COMPRESSION_VALID,2025,10951,47,233
A,2018,750,47,169
A,2019,1162,47,217
A,2020,1041,47,187
A,2021,1133,47,216
A,2022,838,47,157
A,2023,1058,47,209
A,2024,989,47,228
A,2025,841,47,198
B,2018,437,47,116
B,2019,922,47,191
B,2020,681,47,149
B,2021,713,47,173
B,2022,557,47,118
B,2023,802,47,179
B,2024,608,47,200
B,2025,569,47,159
