ticker,cik,fiscal_quarter,fiscal_period_end,sec_filing_date,sec_acceptance_utc,accession_number,filing_url,primary_document,item_2_02_confirmed,filter_decision,filter_reason,filter_evidence,ambiguous,note
AAPL,0000320193,Q1,,2019-01-02,2019-01-02T21:30:03.000Z,0000320193-19-000002,https://www.sec.gov/Archives/edgar/data/320193/000032019319000002/a8-kjanuary2019122019.htm,a8-kjanuary2019122019.htm,YES,EXCLUDE,PREANNOUNCEMENT_GUIDANCE,AAPL investor letter revising Q1 guidance; final results followed on 2019-01-29.,NO,AAPL investor letter revising Q1 guidance; final results followed on 2019-01-29.
ABBV,0001551152,,2020-03-31,2020-07-29,2020-07-29T20:57:26.000Z,0001104659-20-087827,https://www.sec.gov/Archives/edgar/data/1551152/000110465920087827/tm2025879d1_8k.htm,tm2025879d1_8k.htm,YES,EXCLUDE,NON_QUARTERLY_ITEM_202,Curated exclusion after filed-document review and secondary event-date cross-check.,NO,Curated exclusion after filed-document review and secondary event-date cross-check.
ABBV,0001551152,Q1,2021-12-31,2022-04-21,2022-04-21T21:12:34.000Z,0001104659-22-048450,https://www.sec.gov/Archives/edgar/data/1551152/000110465922048450/tm2213254d1_8k.htm,tm2213254d1_8k.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
ABBV,0001551152,Q1,2022-03-31,2022-04-29,2022-04-29T13:00:02.000Z,0001551152-22-000012,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000012/abbv-20220429.htm,abbv-20220429.htm,YES,EXCLUDE,DUPLICATE_OR_AMENDMENT,Duplicate/amended filing for the same quarterly release; earliest accepted filing retained.,NO,Duplicate/amended filing for the same quarterly release; earliest accepted filing retained.
ABBV,0001551152,Q2,2022-06-30,2022-07-06,2022-07-06T20:17:34.000Z,0001551152-22-000023,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000023/abbv-20220706.htm,abbv-20220706.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
ABBV,0001551152,Q3,2022-09-30,2022-10-05,2022-10-05T20:14:22.000Z,0001551152-22-000034,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000034/abbv-20221005.htm,abbv-20221005.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
ABBV,0001551152,Q4,2022-12-31,2023-01-06,2023-01-06T21:15:27.000Z,0001551152-23-000004,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000004/abbv-20230106.htm,abbv-20230106.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
ABBV,0001551152,Q1,2023-03-31,2023-04-05,2023-04-05T20:33:31.000Z,0001551152-23-000015,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000015/abbv-20230405.htm,abbv-20230405.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
ABBV,0001551152,Q2,2023-06-30,2023-07-06,2023-07-06T20:18:09.000Z,0001551152-23-000026,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000026/abbv-20230706.htm,abbv-20230706.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
ABBV,0001551152,Q3,2023-09-30,2023-10-04,2023-10-04T20:11:14.000Z,0001551152-23-000036,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000036/abbv-20231004.htm,abbv-20231004.htm,YES,EXCLUDE,PRELIMINARY_RESULTS,Preliminary-result language in filed document.,NO,Preliminary-result language in filed document.
