ticker,sec_filing_date,accession_number,filing_url,temporal_classification,quarterly_release_confirmed,timestamp_checked,review_note
JPM,2018-01-12,0000019617-18-000004,https://www.sec.gov/Archives/edgar/data/19617/000001961718000004/a4q17erf8kcover.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
UNH,2018-01-16,0000731766-18-000002,https://www.sec.gov/Archives/edgar/data/731766/000073176618000002/a2017q4er8-k.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
BAC,2018-01-17,0000070858-18-000002,https://www.sec.gov/Archives/edgar/data/70858/000007085818000002/bac-123120178xk.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
JNJ,2018-01-23,0000200406-18-000003,https://www.sec.gov/Archives/edgar/data/200406/000020040618000003/a8-k2017q4.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
CAT,2018-01-25,0000018230-18-000028,https://www.sec.gov/Archives/edgar/data/18230/000001823018000028/cat_8-kxq4x2017xearningsxr.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
NEE,2018-01-26,0000753308-18-000003,https://www.sec.gov/Archives/edgar/data/753308/000075330818000003/form8k01262018.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
BA,2018-01-31,0000950123-18-000555,https://www.sec.gov/Archives/edgar/data/12927/000095012318000555/a201712dec318-k1.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
LLY,2018-01-31,0000059478-18-000028,https://www.sec.gov/Archives/edgar/data/59478/000005947818000028/q42017earnings8-k.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
MSFT,2018-01-31,0001193125-18-027377,https://www.sec.gov/Archives/edgar/data/789019/000119312518027377/d468387d8k.htm,AMC,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
AAPL,2018-02-01,0000320193-18-000005,https://www.sec.gov/Archives/edgar/data/320193/000032019318000005/a8-kq1201812302017.htm,AMC,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
AMZN,2018-02-01,0001018724-18-000002,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000002/amzn-20171231x8k.htm,AMC,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
CVX,2018-02-02,0000093410-18-000005,https://www.sec.gov/Archives/edgar/data/93410/000009341018000005/cvx12312017-8xkdoc.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
XOM,2018-02-02,0000034088-18-000006,https://www.sec.gov/Archives/edgar/data/34088/000003408818000006/r8k020218.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
DIS,2018-02-06,0001001039-18-000032,https://www.sec.gov/Archives/edgar/data/1001039/000100103918000032/fy2018_q1x8kxcover.htm,INTRADAY,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
NVDA,2018-02-08,0001045810-18-000004,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000004/form8-kq4fy18.htm,AMC,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
WMT,2018-02-20,0000104169-18-000020,https://www.sec.gov/Archives/edgar/data/104169/000010416918000020/form8-kx2202018.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
ADBE,2018-03-15,0000796343-18-000057,https://www.sec.gov/Archives/edgar/data/796343/000079634318000057/adbe8kfy18.htm,AMC,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
AVGO,2018-03-15,0001193125-18-084031,https://www.sec.gov/Archives/edgar/data/1649338/000119312518084031/d552102d8k.htm,INTRADAY,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
NKE,2018-03-22,0000320187-18-000034,https://www.sec.gov/Archives/edgar/data/320187/000032018718000034/form8kerq3fy18.htm,AMC,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
DIS,2018-05-08,0001001039-18-000077,https://www.sec.gov/Archives/edgar/data/1001039/000100103918000077/fy2018_q2x8kxcover.htm,INTRADAY,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
LOW,2018-05-23,0001193125-18-171530,https://www.sec.gov/Archives/edgar/data/60667/000119312518171530/d566719d8k.htm,INTRADAY,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
DIS,2018-08-07,0001001039-18-000133,https://www.sec.gov/Archives/edgar/data/1001039/000100103918000133/fy2018_q3x8kxcover.htm,INTRADAY,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
DIS,2018-11-08,0001001039-18-000179,https://www.sec.gov/Archives/edgar/data/1001039/000100103918000179/fy2018_q4x8kxcover.htm,INTRADAY,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
DIS,2019-02-05,0001001039-19-000060,https://www.sec.gov/Archives/edgar/data/1001039/000100103919000060/fy2019_q1x8kxcover.htm,INTRADAY,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
LLY,2019-02-06,0000059478-19-000044,https://www.sec.gov/Archives/edgar/data/59478/000005947819000044/q42018earnings8-k.htm,INTRADAY,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
LLY,2019-04-30,0000059478-19-000171,https://www.sec.gov/Archives/edgar/data/59478/000005947819000171/q12019earnings8-k.htm,INTRADAY,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
MS,2019-07-18,0001157523-19-001537,https://www.sec.gov/Archives/edgar/data/895421/000115752319001537/a52013522.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
LLY,2019-07-30,0000059478-19-000228,https://www.sec.gov/Archives/edgar/data/59478/000005947819000228/q22019earnings8-k.htm,INTRADAY,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
GE,2020-04-29,0000040545-20-000019,https://www.sec.gov/Archives/edgar/data/40545/000004054520000019/ge1q20208-k.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
PLD,2021-01-26,0001564590-21-002199,https://www.sec.gov/Archives/edgar/data/1045609/000156459021002199/pld-8k_20210126.htm,INTRADAY,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
COST,2022-03-04,0001193125-22-065629,https://www.sec.gov/Archives/edgar/data/909832/000119312522065629/d264475d8k.htm,INTRADAY,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
COST,2022-09-23,0001193125-22-249988,https://www.sec.gov/Archives/edgar/data/909832/000119312522249988/d327884d8k.htm,INTRADAY,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
JNJ,2025-10-14,0000200406-25-000201,https://www.sec.gov/Archives/edgar/data/200406/000020040625000201/jnj-20251014.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
JPM,2025-10-14,0001628280-25-044845,https://www.sec.gov/Archives/edgar/data/19617/000162828025044845/jpm-20251014.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
BAC,2025-10-15,0000070858-25-000390,https://www.sec.gov/Archives/edgar/data/70858/000007085825000390/bac-20251015.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
NEE,2025-10-28,0000753308-25-000055,https://www.sec.gov/Archives/edgar/data/753308/000075330825000055/nee-20251028.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
UNH,2025-10-28,0000731766-25-000301,https://www.sec.gov/Archives/edgar/data/731766/000073176625000301/unh-20251028.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
BA,2025-10-29,0001628280-25-046915,https://www.sec.gov/Archives/edgar/data/12927/000162828025046915/ba-20251029.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
CAT,2025-10-29,0000018230-25-000043,https://www.sec.gov/Archives/edgar/data/18230/000001823025000043/cat-20251029.htm,BMO,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
MSFT,2025-10-29,0001193125-25-256310,https://www.sec.gov/Archives/edgar/data/789019/000119312525256310/msft-20251028.htm,AMC,YES,YES,"Filed release and SEC acceptance checked: old/recent cross-sector sample, exceptional time class, or metadata override."
