Group,Direction,Year,N,Tickers,Dates,Gap_Mean,Gap_Median
BASELINE_LONG,LONG,2018,11750,47,250,0.0005727538419622894,0.0007051510508897518
BASELINE_LONG,LONG,2019,11844,47,252,0.0006116352088434305,0.0007147424665582269
BASELINE_LONG,LONG,2020,11891,47,253,0.0010112997410410168,0.0013174694200168702
BASELINE_LONG,LONG,2021,11844,47,252,0.0008907298683372731,0.0009072484932929337
BASELINE_LONG,LONG,2022,11797,47,251,-0.0005391262072256689,-0.000141145419863431
BASELINE_LONG,LONG,2023,11750,47,250,0.0002146557495269579,0.0001143171504434104
BASELINE_LONG,LONG,2024,11844,47,252,0.0007340595843131445,0.0005736433472426361
BASELINE_LONG,LONG,2025,11233,47,239,0.00033823774356511434,0.00043300779193766736
BASELINE_SHORT,SHORT,2018,11750,47,250,0.0005727538419622894,0.0007051510508897518
BASELINE_SHORT,SHORT,2019,11844,47,252,0.0006116352088434305,0.0007147424665582269
BASELINE_SHORT,SHORT,2020,11891,47,253,0.0010112997410410168,0.0013174694200168702
BASELINE_SHORT,SHORT,2021,11844,47,252,0.0008907298683372731,0.0009072484932929337
BASELINE_SHORT,SHORT,2022,11797,47,251,-0.0005391262072256689,-0.000141145419863431
BASELINE_SHORT,SHORT,2023,11750,47,250,0.0002146557495269579,0.0001143171504434104
BASELINE_SHORT,SHORT,2024,11844,47,252,0.0007340595843131445,0.0005736433472426361
BASELINE_SHORT,SHORT,2025,11233,47,239,0.00033823774356511434,0.00043300779193766736
A_GAP_UP,LONG,2018,262,40,107,0.03595316119787113,0.029009800622729398
A_GAP_UP,LONG,2019,183,41,100,0.03602084675167979,0.027724345003462547
A_GAP_UP,LONG,2020,1012,47,168,0.039438601323787806,0.031073663322312872
A_GAP_UP,LONG,2021,225,44,112,0.0336993932594706,0.02680742843920303
A_GAP_UP,LONG,2022,527,46,116,0.03304630552888444,0.026832572928995546
A_GAP_UP,LONG,2023,237,43,106,0.036531195142738795,0.02789610643814555
A_GAP_UP,LONG,2024,284,44,129,0.03868331849932611,0.027963614210731347
A_GAP_UP,LONG,2025,388,47,136,0.038616701960536785,0.02948841415486303
B_GAP_DOWN,SHORT,2018,250,43,88,-0.03544408660687391,-0.02698683221421827
B_GAP_DOWN,SHORT,2019,205,41,83,-0.03375868900293372,-0.027803122260388724
B_GAP_DOWN,SHORT,2020,906,47,103,-0.043236124473046235,-0.03251045797141461
B_GAP_DOWN,SHORT,2021,224,41,88,-0.030198359431597124,-0.025494939534631
B_GAP_DOWN,SHORT,2022,586,44,143,-0.03229099835057905,-0.026332078398431547
B_GAP_DOWN,SHORT,2023,191,44,94,-0.03360057615656251,-0.027719228628126702
B_GAP_DOWN,SHORT,2024,247,45,110,-0.03924603551546941,-0.028850814259384072
B_GAP_DOWN,SHORT,2025,402,46,109,-0.03721099112471468,-0.029868353645705614
