Group,Year,Horizon,N,Mean,Median,Win_Rate
BASELINE_LONG,ALL,1,93953,0.00024485809796754074,0.0004043628273955324,0.5129160324843273
BASELINE_LONG,ALL,3,93953,0.0016435065142461481,0.0017790999149251974,0.5299564675954999
BASELINE_LONG,ALL,5,93953,0.003043165505682361,0.0033084757222114902,0.5434632209721882
GAP_DOWN_FADE_LONG,ALL,1,3011,0.0009230914571294698,0.0,0.4995018266356692
GAP_DOWN_FADE_LONG,ALL,3,3011,0.0012090293141365346,0.0022457393215553623,0.5224178013948855
GAP_DOWN_FADE_LONG,ALL,5,3011,0.0034676031704797853,0.005135235946029271,0.5350381932912653
BASELINE_LONG,2018,1,11750,-0.00043097887758737174,0.00017359823371210226,0.504
BASELINE_LONG,2018,3,11750,-0.00040528250864642443,0.0009144435828549735,0.5167659574468085
BASELINE_LONG,2018,5,11750,-0.00020653559760907056,0.0017154208318156394,0.5217021276595745
GAP_DOWN_FADE_LONG,2018,1,250,0.013913489540570647,0.010071717530030999,0.676
GAP_DOWN_FADE_LONG,2018,3,250,0.002483026819429403,0.004379691271570785,0.548
GAP_DOWN_FADE_LONG,2018,5,250,0.008889345947633426,0.006293844921107072,0.568
BASELINE_LONG,2019,1,11844,0.0005345614859978406,0.0006204294738181293,0.5244005403579872
BASELINE_LONG,2019,3,11844,0.0030046495890023246,0.0030862398487816467,0.5623944613306315
BASELINE_LONG,2019,5,11844,0.005249572016799743,0.00542311331290124,0.5941404930766633
GAP_DOWN_FADE_LONG,2019,1,205,-0.0010944571860438397,-0.001497536779526798,0.47317073170731705
GAP_DOWN_FADE_LONG,2019,3,205,0.00656745015478535,0.007073087826652058,0.5853658536585366
GAP_DOWN_FADE_LONG,2019,5,205,0.009968140576579328,0.007033075294804236,0.6
BASELINE_LONG,2020,1,11891,0.00026560528088494554,0.0,0.49911697922798753
BASELINE_LONG,2020,3,11891,0.0025216609715910283,0.0017883466002408532,0.5270372550668573
BASELINE_LONG,2020,5,11891,0.0049646912705446624,0.004390465563177903,0.5435203094777563
GAP_DOWN_FADE_LONG,2020,1,906,-0.0027121640924589077,-0.0027402725328213307,0.45584988962472406
GAP_DOWN_FADE_LONG,2020,3,906,-0.005461240386520235,0.0005819291549628014,0.5055187637969095
GAP_DOWN_FADE_LONG,2020,5,906,-0.006599823976862498,-0.0003910047777986314,0.4966887417218543
BASELINE_LONG,2021,1,11844,0.0002616262111038328,0.00034364339261749866,0.5131712259371833
BASELINE_LONG,2021,3,11844,0.002709604575734137,0.0023952889176539482,0.542806484295846
BASELINE_LONG,2021,5,11844,0.004900075325318096,0.004376843866912505,0.5614657210401891
GAP_DOWN_FADE_LONG,2021,1,224,0.00012715181148426614,-0.0007569960030106571,0.47767857142857145
GAP_DOWN_FADE_LONG,2021,3,224,0.006427720948449197,0.00545635603334893,0.5535714285714286
GAP_DOWN_FADE_LONG,2021,5,224,0.006762034409978301,0.010358099565692447,0.5982142857142857
BASELINE_LONG,2022,1,11797,6.568279116334176e-05,0.00036119984092763957,0.5086886496566924
BASELINE_LONG,2022,3,11797,-0.0009079096366163772,0.0,0.49987284902941426
BASELINE_LONG,2022,5,11797,-0.0017271336175761517,-0.0001366189044845756,0.4975841315588709
GAP_DOWN_FADE_LONG,2022,1,586,0.0011325252826626653,-0.0011212540866988308,0.4778156996587031
GAP_DOWN_FADE_LONG,2022,3,586,0.001421339416161541,0.00020046425856024008,0.5051194539249146
GAP_DOWN_FADE_LONG,2022,5,586,0.0014937609346659271,-0.00034050367145860294,0.49829351535836175
BASELINE_LONG,2023,1,11750,0.0008149642528966063,0.0007380885487805466,0.5257872340425532
BASELINE_LONG,2023,3,11750,0.0028018825902225283,0.0019184371974448888,0.5343829787234042
BASELINE_LONG,2023,5,11750,0.0046951576392307605,0.0028855847766987575,0.5408510638297872
GAP_DOWN_FADE_LONG,2023,1,191,0.0017749212620161417,0.0020585148971272726,0.5287958115183246
GAP_DOWN_FADE_LONG,2023,3,191,0.00766651842542631,0.007484278699591673,0.5759162303664922
GAP_DOWN_FADE_LONG,2023,5,191,0.009545510043577631,0.012808823028410465,0.581151832460733
BASELINE_LONG,2024,1,11844,5.658000955855598e-05,0.00033216021743720514,0.5113137453562986
BASELINE_LONG,2024,3,11844,0.0016797026605448507,0.0015220600437770848,0.5268490374873354
BASELINE_LONG,2024,5,11844,0.003373865935930645,0.0029146526199070877,0.5408645727794664
GAP_DOWN_FADE_LONG,2024,1,247,0.0003426605535541659,0.0018769810038434809,0.5344129554655871
GAP_DOWN_FADE_LONG,2024,3,247,0.002448151639396604,0.0011148628819668271,0.5141700404858299
GAP_DOWN_FADE_LONG,2024,5,247,0.010161273724175903,0.004137698311191151,0.5465587044534413
BASELINE_LONG,2025,1,11233,0.0003970419049604079,0.0005282612018913113,0.5171370070328496
BASELINE_LONG,2025,3,11233,0.0017273952911770426,0.001887668318182767,0.5293332146354491
BASELINE_LONG,2025,5,11233,0.003057115631586668,0.003987106862942014,0.5474049675064542
GAP_DOWN_FADE_LONG,2025,1,402,0.0021563468756098767,0.000833172154039552,0.5099502487562189
GAP_DOWN_FADE_LONG,2025,3,402,0.005670333840680153,4.780380437052756e-06,0.5
GAP_DOWN_FADE_LONG,2025,5,402,0.01351124806094724,0.00769717711127238,0.5572139303482587
