Horizon,Year,N,Mean,Median,Contribution_Sum
1,2018,250,0.013913489540570647,0.010071717530030999,3.4783723851426616
1,2025,402,0.0021563468756098767,0.000833172154039552,0.8668514439951703
1,2022,586,0.0011325252826626653,-0.0011212540866988308,0.6636598156403218
1,2023,191,0.0017749212620161417,0.0020585148971272726,0.3390099610450831
1,2024,247,0.0003426605535541659,0.0018769810038434809,0.08463715672787897
1,2021,224,0.00012715181148426614,-0.0007569960030106571,0.028482005772475616
1,2019,205,-0.0010944571860438397,-0.001497536779526798,-0.22436372313898711
1,2020,906,-0.0027121640924589077,-0.0027402725328213307,-2.4572206677677704
3,2025,402,0.005670333840680153,4.780380437052756e-06,2.2794742039534213
3,2023,191,0.00766651842542631,0.007484278699591673,1.4643050192564253
3,2021,224,0.006427720948449197,0.00545635603334893,1.4398094924526201
3,2019,205,0.006567450154785349,0.007073087826652058,1.3463272817309966
3,2022,586,0.001421339416161541,0.00020046425856024008,0.832904897870663
3,2018,250,0.002483026819429403,0.004379691271570785,0.6207567048573508
3,2024,247,0.002448151639396604,0.0011148628819668271,0.6046934549309613
3,2020,906,-0.005461240386520235,0.0005819291549628014,-4.947883790187333
5,2025,402,0.01351124806094724,0.00769717711127238,5.431521720500791
5,2024,247,0.010161273724175903,0.004137698311191151,2.509834609871448
5,2018,250,0.008889345947633426,0.006293844921107072,2.2223364869083566
5,2019,205,0.009968140576579328,0.007033075294804236,2.0434688181987624
5,2023,191,0.009545510043577633,0.012808823028410465,1.823192418323328
5,2021,224,0.006762034409978301,0.010358099565692447,1.5146957078351395
5,2022,586,0.0014937609346659271,-0.00034050367145860294,0.8753439077142333
5,2020,906,-0.006599823976862499,-0.0003910047777986314,-5.979440523037424
