Factor_A,Factor_B,Windows,Positive_Windows,Positive_%,Average_Test_PnL,Median_Test_PnL,Average_Win_Rate,Total_Test_PnL,Total_Test_Trades
Distance_SMA20,Distance_SMA50,5,4,0.8,0.005544195024019155,0.005011465694013788,0.4423477098349221,0.4109519191490855,84
Distance_SMA50,Drop_ATR_Ratio,4,4,1.0,0.003609906167469518,0.0036324965319226602,0.4078421578421579,0.3211365234720932,85
Distance_SMA20,SPY_Return,5,4,0.8,0.0014298386802677554,0.002822243977391419,0.39022839905192847,0.1513033530958721,77
Distance_SMA50,Return_3D,5,4,0.8,0.0011746338543861211,0.003603709741309219,0.37166666666666665,0.06148575560974769,87
Return_3D,Drop_ATR_Ratio,4,3,0.75,0.008429606194958144,0.0079055320395207,0.5072468381291911,0.4701970654567436,60
Return_3D,SPY_Return,3,3,1.0,0.005393855698225033,0.005855396349830655,0.4515151515151515,0.2520368571293018,51
SPY_Return,SPY_Distance_SMA50,3,3,1.0,0.005228436022932028,0.00324571163279231,0.5021645021645021,0.2541454942489486,67
Distance_SMA50,SPY_Return,3,3,1.0,0.00411457275225353,0.004782481225808918,0.42813555628200933,0.21878489812042595,56
Distance_SMA20,Drop_ATR_Ratio,3,3,1.0,0.002807784881566265,0.002699537138332237,0.4225774225774226,0.12057793755878779,45
Distance_SMA50,SPY_Distance_SMA50,3,2,0.6666666666666666,0.0024075045887446173,0.0016388604920240062,0.4481481481481482,0.09504616328217019,48
SPY_Return,Drop_ATR_Ratio,2,2,1.0,0.0023993101519375563,0.0023993101519375563,0.41640866873065013,0.0867537953762297,36
Return_3D,SPY_Distance_SMA50,3,2,0.6666666666666666,0.0019670375325667403,0.0016139979376203432,0.41205200028729444,0.1147454476569742,51
Distance_SMA20,SPY_Distance_SMA50,4,2,0.5,9.589584408157344e-06,0.00021984272583167698,0.3937937062937063,0.015722712168303885,59
Distance_SMA20,Return_3D,3,1,0.3333333333333333,0.0009466002764302314,-0.00303801172152956,0.40735930735930737,0.01827061035553211,35
Drop_ATR_Ratio,SPY_Distance_SMA50,2,1,0.5,-0.0015244950029644462,-0.0015244950029644462,0.34705882352941175,-0.07983283010079131,27
