Window,Feature,Train_Start,Train_End,Test_Start,Test_End,Bucket,Train_Trades,Train_Avg,Test_Trades,Test_Avg,Test_Win_Rate
1,Signal_Drop,2018-01-01,2021-01-01,2021-01-01,2022-01-01,1,114,0.04566822064960812,53,-0.2676761593827353,33.9622641509434
1,Signal_Drop,2018-01-01,2021-01-01,2021-01-01,2022-01-01,2,113,0.4116916241533569,77,0.004080684754640262,37.66233766233766
1,Signal_Drop,2018-01-01,2021-01-01,2021-01-01,2022-01-01,3,113,-0.14415374335886083,63,0.34997216043838836,42.857142857142854
1,Signal_Drop,2018-01-01,2021-01-01,2021-01-01,2022-01-01,4,113,0.20897544308911659,64,0.17775002829619407,46.875
1,ATR_Pct,2018-01-01,2021-01-01,2021-01-01,2022-01-01,1,114,0.14712806146243532,64,-0.0041545630631892394,45.3125
1,ATR_Pct,2018-01-01,2021-01-01,2021-01-01,2022-01-01,2,113,-0.05485343744532534,85,0.32244665885594226,43.529411764705884
1,ATR_Pct,2018-01-01,2021-01-01,2021-01-01,2022-01-01,3,113,0.18876387544551507,79,0.23576189226708782,41.77215189873418
1,ATR_Pct,2018-01-01,2021-01-01,2021-01-01,2022-01-01,4,113,0.240245170373137,31,-0.5876012664004422,22.58064516129032
1,Drop_ATR_Ratio,2018-01-01,2021-01-01,2021-01-01,2022-01-01,1,114,0.16796231800144326,48,-0.0922398838031185,33.33333333333333
1,Drop_ATR_Ratio,2018-01-01,2021-01-01,2021-01-01,2022-01-01,2,113,-0.2438425021203562,70,0.25421833551974105,41.42857142857143
1,Drop_ATR_Ratio,2018-01-01,2021-01-01,2021-01-01,2022-01-01,3,113,0.5113892226883158,67,0.10862011600708858,40.298507462686565
1,Drop_ATR_Ratio,2018-01-01,2021-01-01,2021-01-01,2022-01-01,4,113,0.08559025731468667,74,0.09332847785256858,45.94594594594595
1,Volume_Ratio,2018-01-01,2021-01-01,2021-01-01,2022-01-01,1,114,0.08766385688883699,55,0.010656913705579094,40.0
1,Volume_Ratio,2018-01-01,2021-01-01,2021-01-01,2022-01-01,2,113,0.45624815827377646,61,0.14802428714086735,40.98360655737705
1,Volume_Ratio,2018-01-01,2021-01-01,2021-01-01,2022-01-01,3,113,0.03110611995266298,78,0.13208279326096833,41.02564102564102
1,Volume_Ratio,2018-01-01,2021-01-01,2021-01-01,2022-01-01,4,113,-0.053208233380632894,64,0.15052428990065497,42.1875
1,Distance_SMA20,2018-01-01,2021-01-01,2021-01-01,2022-01-01,1,114,0.235071637856431,82,0.2920253318519429,46.34146341463415
1,Distance_SMA20,2018-01-01,2021-01-01,2021-01-01,2022-01-01,2,113,0.0986088183338256,64,-0.021009143723946744,37.5
1,Distance_SMA20,2018-01-01,2021-01-01,2021-01-01,2022-01-01,3,113,0.24504372335092944,57,0.11333019170269132,42.10526315789473
1,Distance_SMA20,2018-01-01,2021-01-01,2021-01-01,2022-01-01,4,113,-0.05821877144342406,56,-0.026958727556837942,35.714285714285715
1,Distance_SMA50,2018-01-01,2021-01-01,2021-01-01,2022-01-01,1,114,0.0333677421561103,80,-0.05942271535602105,38.75
1,Distance_SMA50,2018-01-01,2021-01-01,2021-01-01,2022-01-01,2,113,0.13584044846098475,47,0.302546316857346,44.680851063829785
