Feature,Windows,Positive_Test_Windows,Positive_Test_%,Train_Test_Correlation,Avg_Selected_Train,Avg_Selected_Test
Signal_Drop,5,3,60.0,-0.29262171023084366,0.2999686293655552,-0.02104891202863552
ATR_Pct,5,2,40.0,-0.014052275767480162,0.24768337019361372,0.03139195417140293
Drop_ATR_Ratio,5,4,80.0,-0.4126530895689639,0.3052209294469997,0.11060680866270718
Volume_Ratio,5,3,60.0,-0.7785327588474996,0.4011476875607288,0.16596675882961326
Distance_SMA20,5,5,100.0,-0.2025798495370274,0.3356525033183269,0.23029501952540846
Distance_SMA50,5,4,80.0,-0.21250160313645308,0.3127850079691036,0.2803544082945249
Distance_SMA200,5,2,40.0,-0.5951590860557767,0.41229776222731046,-0.10724995040973313
Return_3D,5,4,80.0,-0.6791751055667871,0.35929366629518655,0.28635257167989586
Return_5D,5,3,60.0,-0.46641915072425166,0.3459167191594049,0.1440612677337502
Return_10D,5,3,60.0,-0.3745301098975571,0.2715048202411039,0.23913234275860712
SPY_Return,5,4,80.0,0.6327440610204356,0.44960215723814717,0.33455034687608176
SPY_Distance_SMA50,5,4,80.0,-0.3413044772950181,0.39062508224948267,0.12281212853830761
SPY_Volume_Ratio,5,2,40.0,-0.4745521863907441,0.3397382675750249,-0.10804419294077369
