Ticker,Signal_Date,Entry_Date,exit_date,allocated_capital,pnl_pct,Score,Score_Level,Exit,exit_date_actual,pnl_dollars
MRK,2018-10-24,2018-10-25,2018-10-25,2000.0,0.04,2,LOW,TP,2018-10-26,80.0
AMT,2018-10-26,2018-10-29,2018-10-30,2016.0,0.04,5,HIGH,TP,2018-10-30,80.64
AMT,2018-10-31,2018-11-01,2018-11-01,2032.128,-0.02,4,HIGH,SL,2018-11-02,-40.642559999999996
DUK,2018-10-26,2018-10-29,2018-11-05,2016.0,0.0181507922724326,5,HIGH,TIME,2018-11-05,36.59199722122412
WMT,2018-10-31,2018-11-01,2018-11-07,2032.128,0.04,4,HIGH,TP,2018-11-07,81.28511999999999
ORCL,2018-11-19,2018-11-20,2018-11-27,2047.5749114442451,-0.0200000000000001,4,HIGH,SL,2018-11-27,-40.95149822888511
AMT,2018-11-20,2018-11-21,2018-11-29,2047.5749114442451,0.013326849446648,5,HIGH,TIME,2018-11-29,27.287722575551065
KO,2018-11-20,2018-11-21,2018-11-29,2047.5749114442451,0.0027891384250613,5,HIGH,TIME,2018-11-29,5.710969863700632
JNJ,2018-11-21,2018-11-23,2018-11-29,2047.5749114442451,0.04,4,HIGH,TP,2018-11-29,81.9029964577698
PEP,2018-12-03,2018-12-04,2018-12-06,2062.3649495778723,-0.0200000000000001,4,HIGH,SL,2018-12-06,-41.247298991557656
UNH,2018-12-04,2018-12-06,2018-12-06,2054.115489779561,-0.02,4,HIGH,SL,2018-12-07,-41.08230979559122
PLD,2018-12-04,2018-12-06,2018-12-06,2054.1154897795614,-0.0200000000000001,3,MEDIUM,SL,2018-12-07,-41.082309795591435
MSFT,2018-12-04,2018-12-06,2018-12-11,2054.115489779561,0.04,4,HIGH,TP,2018-12-11,82.16461959118244
PFE,2018-12-07,2018-12-10,2018-12-10,2037.6825658613245,-0.02,3,MEDIUM,SL,2018-12-11,-40.75365131722649
PLD,2018-12-07,2018-12-10,2018-12-10,2037.6825658613245,-0.02,3,MEDIUM,SL,2018-12-11,-40.75365131722649
MRK,2018-12-14,2018-12-17,2018-12-18,2037.8140292526705,-0.02,5,HIGH,SL,2018-12-18,-40.75628058505341
LLY,2018-12-14,2018-12-17,2018-12-17,2037.8140292526705,-0.02,4,HIGH,SL,2018-12-18,-40.75628058505341
PEP,2018-12-14,2018-12-17,2018-12-18,2037.8140292526705,-0.02,4,HIGH,SL,2018-12-18,-40.75628058505341
KO,2018-12-17,2018-12-18,2018-12-19,2013.3602609016389,-0.0199999999999999,4,HIGH,SL,2018-12-19,-40.26720521803257
DUK,2018-12-17,2018-12-18,2018-12-20,2013.3602609016384,-0.02,4,HIGH,SL,2018-12-20,-40.26720521803277
NEE,2018-12-17,2018-12-18,2018-12-20,2013.3602609016389,-0.02,4,HIGH,SL,2018-12-20,-40.26720521803278
TSLA,2018-12-18,2018-12-19,2018-12-19,2005.3068198580322,-0.02,3,MEDIUM,SL,2018-12-20,-40.10613639716065
AMT,2018-12-17,2018-12-18,2018-12-21,2013.3602609016384,-0.02,4,HIGH,SL,2018-12-21,-40.26720521803277
AVGO,2018-12-19,2018-12-20,2018-12-20,1981.1787104913867,-0.0199999999999999,4,HIGH,SL,2018-12-21,-39.62357420982754
ABBV,2019-01-02,2019-01-03,2019-01-03,1965.2005546058147,-0.02,4,HIGH,SL,2019-01-04,-39.30401109211629
GE,2019-01-08,2019-01-09,2019-01-09,1957.3397523873916,-0.0199999999999999,2,LOW,SL,2019-01-10,-39.14679504774764
AMD,2019-01-09,2019-01-10,2019-01-10,1949.510393377842,-0.0200000000000001,3,MEDIUM,SL,2019-01-11,-38.99020786755704
AMD,2019-01-10,2019-01-11,2019-01-11,1941.7123518043309,0.04,4,HIGH,TP,2019-01-12,77.66849407217323
ABBV,2019-01-09,2019-01-10,2019-01-14,1949.510393377842,-0.02,4,HIGH,SL,2019-01-14,-38.99020786755684
LOW,2019-01-15,2019-01-16,2019-01-17,1949.4480090452541,-0.02,4,HIGH,SL,2019-01-17,-38.98896018090508
NFLX,2019-01-18,2019-01-22,2019-01-22,1941.6502170090732,-0.0200000000000001,3,MEDIUM,SL,2019-01-23,-38.83300434018166
MS,2019-01-22,2019-01-23,2019-01-23,1933.8836161410368,-0.0200000000000001,4,HIGH,SL,2019-01-24,-38.67767232282093
