Ticker,Signal_Date,Entry_Date,exit_date,allocated_capital,pnl_pct,Score,Score_Level,Exit,exit_date_actual,pnl_dollars
AMT,2018-10-26,2018-10-29,2018-10-30,2000.0,0.04,5,HIGH,TP,2018-10-30,80.0
AMT,2018-10-31,2018-11-01,2018-11-01,2016.0,-0.02,4,HIGH,SL,2018-11-02,-40.32
DUK,2018-10-26,2018-10-29,2018-11-05,2000.0,0.0181507922724326,5,HIGH,TIME,2018-11-05,36.3015845448652
WMT,2018-10-31,2018-11-01,2018-11-07,2016.0,0.04,4,HIGH,TP,2018-11-07,80.64
ORCL,2018-11-19,2018-11-20,2018-11-27,2031.3243169089733,-0.0200000000000001,4,HIGH,SL,2018-11-27,-40.626486338179674
AMT,2018-11-20,2018-11-21,2018-11-29,2031.3243169089733,0.013326849446648,5,HIGH,TIME,2018-11-29,27.071153348760976
KO,2018-11-20,2018-11-21,2018-11-29,2031.3243169089737,0.0027891384250613,5,HIGH,TIME,2018-11-29,5.665644706052216
JNJ,2018-11-21,2018-11-23,2018-11-29,2031.3243169089737,0.04,4,HIGH,TP,2018-11-29,81.25297267635895
PEP,2018-12-03,2018-12-04,2018-12-06,2045.996973787572,-0.0200000000000001,4,HIGH,SL,2018-12-06,-40.91993947575165
UNH,2018-12-04,2018-12-06,2018-12-06,2037.812985892422,-0.02,4,HIGH,SL,2018-12-07,-40.75625971784844
MSFT,2018-12-04,2018-12-06,2018-12-11,2037.812985892422,0.04,4,HIGH,TP,2018-12-11,81.51251943569687
MRK,2018-12-14,2018-12-17,2018-12-18,2045.9642378359913,-0.02,5,HIGH,SL,2018-12-18,-40.919284756719826
LLY,2018-12-14,2018-12-17,2018-12-17,2045.9642378359913,-0.02,4,HIGH,SL,2018-12-18,-40.919284756719826
PEP,2018-12-14,2018-12-17,2018-12-18,2045.9642378359913,-0.02,4,HIGH,SL,2018-12-18,-40.919284756719826
KO,2018-12-17,2018-12-18,2018-12-19,2021.4126669819595,-0.0199999999999999,4,HIGH,SL,2018-12-19,-40.428253339638985
DUK,2018-12-17,2018-12-18,2018-12-20,2021.4126669819595,-0.02,4,HIGH,SL,2018-12-20,-40.42825333963919
NEE,2018-12-17,2018-12-18,2018-12-20,2021.412666981959,-0.02,4,HIGH,SL,2018-12-20,-40.428253339639184
AMT,2018-12-17,2018-12-18,2018-12-21,2021.4126669819595,-0.02,4,HIGH,SL,2018-12-21,-40.42825333963919
AVGO,2018-12-19,2018-12-20,2018-12-20,1997.1557149781759,-0.0199999999999999,4,HIGH,SL,2018-12-21,-39.94311429956332
ABBV,2019-01-02,2019-01-03,2019-01-03,1981.0814414503357,-0.02,4,HIGH,SL,2019-01-04,-39.62162882900672
AMD,2019-01-10,2019-01-11,2019-01-11,1973.1571156845341,0.04,4,HIGH,TP,2019-01-12,78.92628462738136
ABBV,2019-01-09,2019-01-10,2019-01-14,1973.1571156845341,-0.02,4,HIGH,SL,2019-01-14,-39.46314231369068
LOW,2019-01-15,2019-01-16,2019-01-17,1981.0497441472723,-0.02,4,HIGH,SL,2019-01-17,-39.620994882945446
MS,2019-01-22,2019-01-23,2019-01-23,1973.1255451706832,-0.0200000000000001,4,HIGH,SL,2019-01-24,-39.462510903413865
COP,2019-01-22,2019-01-23,2019-01-28,1973.1255451706832,-0.0200000000000001,4,HIGH,SL,2019-01-28,-39.462510903413865
LLY,2019-01-18,2019-01-22,2019-01-29,1973.1255451706832,0.0001731126191732,4,HIGH,TIME,2019-01-29,0.3415729310820451
BAC,2019-01-31,2019-02-01,2019-02-07,1957.4088553955344,-0.02,4,HIGH,SL,2019-02-07,-39.14817710791069
GS,2019-01-31,2019-02-01,2019-02-07,1957.4088553955344,-0.02,4,HIGH,SL,2019-02-07,-39.14817710791069
COP,2019-02-07,2019-02-08,2019-02-08,1941.74958455237,-0.02,5,HIGH,SL,2019-02-09,-38.8349916910474
GE,2019-02-08,2019-02-11,2019-02-13,1933.9825862141604,0.04,4,HIGH,TP,2019-02-13,77.35930344856642
GOOGL,2019-02-06,2019-02-07,2019-02-14,1941.74958455237,0.0156320915235157,4,HIGH,TIME,2019-02-14,30.353607221471233
ORCL,2019-02-07,2019-02-08,2019-02-15,1941.74958455237,0.0325413679634969,5,HIGH,TIME,2019-02-15,63.18718772388591
UNH,2019-02-08,2019-02-11,2019-02-19,1933.9825862141604,0.04,4,HIGH,TP,2019-02-19,77.35930344856642
WMT,2019-02-20,2019-02-21,2019-02-27,1983.6344665826582,-0.02,4,HIGH,SL,2019-02-27,-39.67268933165317
LOW,2019-02-28,2019-03-01,2019-03-01,1975.699928716328,-0.02,4,HIGH,SL,2019-03-02,-39.513998574326564
CAT,2019-02-26,2019-02-27,2019-03-06,1975.6999287163276,-0.02,5,HIGH,SL,2019-03-06,-39.51399857432655
CRM,2019-03-04,2019-03-05,2019-03-05,1951.9915295717312,-0.0199999999999999,4,HIGH,SL,2019-03-06,-39.03983059143443
HD,2019-02-27,2019-02-28,2019-03-07,1975.6999287163276,-0.0059367160310161,4,HIGH,TIME,2019-03-07,-11.729169439287588
ADBE,2019-03-04,2019-03-05,2019-03-07,1967.7971290014627,-0.02,4,HIGH,SL,2019-03-07,-39.35594258002926
AMZN,2019-03-07,2019-03-08,2019-03-11,1941.8693407644469,0.04,4,HIGH,TP,2019-03-11,77.67477363057787
MCD,2019-03-04,2019-03-05,2019-03-12,1967.7971290014627,0.0068105602919279,5,HIGH,TIME,2019-03-12,13.401800989347084
AVGO,2019-03-07,2019-03-08,2019-03-13,1941.8693407644469,0.04,4,HIGH,TP,2019-03-13,77.67477363057787
LLY,2019-03-11,2019-03-12,2019-03-13,1960.0846556884317,0.04,4,HIGH,TP,2019-03-13,78.40338622753727
META,2019-03-15,2019-03-18,2019-03-18,1991.300287660055,-0.02,4,HIGH,SL,2019-03-19,-39.8260057532011
MS,2019-03-20,2019-03-21,2019-03-22,1983.3350865094149,-0.02,5,HIGH,SL,2019-03-22,-39.6667017301883
BAC,2019-03-20,2019-03-21,2019-03-22,1983.3350865094149,-0.02,4,HIGH,SL,2019-03-22,-39.6667017301883
GS,2019-03-20,2019-03-21,2019-03-22,1975.3698853587748,-0.0200000000000001,4,HIGH,SL,2019-03-22,-39.5073977071757
ADBE,2019-03-15,2019-03-18,2019-03-25,1991.300287660055,0.0200692464551843,4,HIGH,TIME,2019-03-25,39.96389623932903
META,2019-03-18,2019-03-19,2019-03-26,1983.3350865094149,0.04,4,HIGH,TP,2019-03-26,79.3334034603766
AAPL,2019-03-22,2019-03-25,2019-03-25,1967.5597055237702,-0.02,4,HIGH,SL,2019-03-26,-39.351194110475404
MA,2019-03-22,2019-03-25,2019-04-01,1967.5597055237702,0.04,5,HIGH,TP,2019-04-01,78.70238822095081
MSFT,2019-03-22,2019-03-25,2019-04-01,1967.5597055237702,0.0211048646598326,5,HIGH,TIME,2019-04-01,41.52508129521925
AMZN,2019-03-22,2019-03-25,2019-04-01,1951.7843245381248,0.0320857392885134,4,HIGH,TIME,2019-04-01,62.6244429845375
AMD,2019-03-27,2019-03-28,2019-04-01,1975.5561473937503,0.04,4,HIGH,TP,2019-04-01,79.02224589575002
AMT,2019-04-01,2019-04-02,2019-04-09,2027.930979073042,0.0192746713977212,5,HIGH,TIME,2019-04-09,39.08770323889191
CRM,2019-04-04,2019-04-05,2019-04-12,2027.930979073042,0.0067654828267267,4,HIGH,TIME,2019-04-12,13.719932212705729
GS,2019-04-15,2019-04-16,2019-04-17,2038.4925061633614,0.04,5,HIGH,TP,2019-04-17,81.53970024653447
CAT,2019-04-24,2019-04-25,2019-04-25,2054.8004462126682,-0.02,4,HIGH,SL,2019-04-26,-41.09600892425337
LOW,2019-04-18,2019-04-22,2019-04-29,2054.8004462126682,-0.0200000000000001,5,HIGH,SL,2019-04-29,-41.096008924253574
XOM,2019-04-26,2019-04-29,2019-05-02,2038.362042642967,-0.0199999999999999,4,HIGH,SL,2019-05-02,-40.76724085285914
MA,2019-05-01,2019-05-02,2019-05-06,2030.208594472395,-0.02,4,HIGH,SL,2019-05-06,-40.6041718894479
NKE,2019-05-01,2019-05-02,2019-05-06,2030.208594472395,-0.02,4,HIGH,SL,2019-05-06,-40.6041718894479
MSFT,2019-05-01,2019-05-02,2019-05-07,2030.208594472395,-0.02,5,HIGH,SL,2019-05-07,-40.6041718894479
HD,2019-05-01,2019-05-02,2019-05-07,2030.208594472395,-0.02,4,HIGH,SL,2019-05-07,-40.6041718894479
AAPL,2019-05-07,2019-05-08,2019-05-09,1997.725256960837,-0.02,4,HIGH,SL,2019-05-09,-39.95450513921674
HD,2019-05-07,2019-05-08,2019-05-10,1997.7252569608356,-0.0199999999999999,4,HIGH,SL,2019-05-10,-39.954505139216515
ADBE,2019-05-07,2019-05-08,2019-05-13,1997.725256960837,-0.0199999999999999,5,HIGH,SL,2019-05-13,-39.954505139216536
BLK,2019-05-07,2019-05-08,2019-05-13,1997.725256960837,-0.02,4,HIGH,SL,2019-05-13,-39.95450513921674
