Feature,Train_Test_Correlation,Same_Sign_%
Signal_Drop,0.19185021448887657,50.0
ATR_Pct,-0.3210266686786643,50.0
Drop_ATR_Ratio,-0.08451879252136679,100.0
Volume_Ratio,-0.5356916915716687,100.0
Distance_SMA20,0.5560741597267206,50.0
Distance_SMA50,-0.46016607015551114,50.0
Distance_SMA200,0.2591352347159731,100.0
Return_3D,0.3569895833913452,50.0
Return_5D,-0.6323860102083901,50.0
Return_10D,-0.6559684600551039,50.0
SPY_Return,-0.5074877301713793,50.0
SPY_Distance_SMA50,-0.3587565765336733,25.0
SPY_Volume_Ratio,-0.7710504511935284,25.0
