Removed,Trades,PnL,Return_pct,Win_Rate,Profit_Factor,Avg_PnL,Median_PnL,PnL_vs_baseline_pct,PnL_change_pct
ORCL,848,54605.190927892865,546.0519092789286,57.66509433962265,1.7582765819059885,64.39291383006234,38.70661658377458,102.78894758796359,2.7889475879635963
AMZN,844,54588.49202028997,545.8849202028997,57.93838862559242,1.7241437811526301,64.67830808091229,39.06040153981053,102.75751352264484,2.757513522644839
MRK,868,53625.861077088,536.25861077088,57.48847926267281,1.7008033414124517,61.78094594134562,38.44385765579592,100.94545463436073,0.9454546343607267
CRM,853,53553.27046361219,535.5327046361219,57.796014067995316,1.7038038495205456,62.782263146086976,38.7476756693568,100.80880988251295,0.8088098825129466
NEE,869,53244.2391863898,532.442391863898,57.42232451093211,1.6877418280125291,61.27070102001128,38.35308847603847,100.2270886355458,0.22708863554578382
DIS,870,53240.29558800603,532.4029558800603,57.47126436781609,1.6860548679046021,61.195742055179345,38.44385765579592,100.21966519611286,0.2196651961128473
XOM,865,53214.59891489794,532.1459891489794,57.34104046242775,1.6871587437378572,61.51976753167392,38.35308847603847,100.1712937145667,0.17129371456669826
MA,868,53194.99830122549,531.9499830122548,57.48847926267281,1.6855554613112989,61.284560254868076,38.44385765579592,100.13439747050576,0.13439747050575832
UNH,861,53146.51318779768,531.4651318779769,57.375145180023225,1.707913278206658,61.726496153075125,37.43409126023653,100.04312897206742,0.043128972067424366
CVX,867,53069.8754484931,530.698754484931,57.324106113033444,1.6834931159561912,61.21092900633575,38.35308847603847,99.89886590046602,-0.10113409953397905
UPS,869,53052.01711818288,530.5201711818288,57.42232451093211,1.6829112953340155,61.049501862120685,38.35308847603847,99.8652493349514,-0.13475066504859814
PLD,869,53042.229702962795,530.4222970296279,57.307249712313,1.6827106045551106,61.038239013766166,37.43409126023653,99.84682548013132,-0.15317451986868552
BLK,869,53038.52976182964,530.3852976182964,57.307249712313,1.6833683909975428,61.03398131395816,38.35308847603847,99.83986070171461,-0.16013929828538875
V,870,53031.51304216435,530.3151304216435,57.24137931034483,1.6823384479817696,60.95576211743028,36.75830467238984,99.82665241111698,-0.17334758888302523
GE,864,53014.75700978389,530.1475700978389,57.17592592592593,1.6884397214103473,61.35967246502765,36.75830467238984,99.79511081397447,-0.20488918602552808
AAPL,871,53008.93460844494,530.0893460844494,57.29047072330654,1.6820479389516068,60.85985603725022,37.43409126023653,99.78415071117297,-0.2158492888270278
PFE,871,53008.56662891056,530.0856662891056,57.29047072330654,1.6820432042840479,60.85943355787664,37.43409126023653,99.7834580255797,-0.21654197442029496
JPM,870,53000.69826663015,530.0069826663015,57.24137931034483,1.6819419647417724,60.920342835207066,37.8935898681375,99.76864660079937,-0.23135339920062584
AMT,868,52915.745570755724,529.1574557075572,57.373271889400925,1.6811181503464072,60.96284051930383,38.44385765579592,99.60873143421341,-0.39126856578659125
CAT,866,52703.47812194578,527.0347812194578,57.159353348729795,1.6813679548148537,60.858519771299974,36.075836711820784,99.20915865917874,-0.7908413408212597
MS,867,52628.744044906896,526.287440449069,57.208765859284895,1.6786593198864284,60.702126926074854,37.43409126023653,99.06847904617402,-0.9315209538259767
BAC,869,52344.785094431674,523.4478509443168,57.192174913693904,1.6735025529608403,60.23565603501919,36.08251808454315,98.53395400960609,-1.466045990393907
GS,870,52281.973097986775,522.8197309798677,57.24137931034483,1.6726943723582093,60.09422195170894,36.75830467238984,98.41571655084515,-1.58428344915485
NKE,859,52176.23592203838,521.7623592203838,57.275902211874275,1.676676810978329,60.74067045638927,38.35308847603847,98.21667662713148,-1.7833233728685303
GOOGL,862,52154.29785366544,521.5429785366543,57.4245939675174,1.675802804656673,60.50382581631722,37.8935898681375,98.17538035251272,-1.8246196474872751
WMT,869,52089.50800400628,520.8950800400628,57.307249712313,1.670389934473807,59.94189643729146,38.35308847603847,98.0534197779285,-1.9465802220715038
ADBE,858,51990.89749278997,519.9089749278996,57.226107226107224,1.6710984440619012,60.59545162329833,36.75830467238984,97.86779510568037,-2.13220489431962
NFLX,810,51302.416847223154,513.0241684722315,57.28395061728395,1.681447705229914,63.33631709533723,38.75908928073545,96.57179742139529,-3.428202578604716
COP,841,51249.27089396744,512.4927089396743,56.837098692033294,1.6628223547344434,60.93849095596604,34.62193842327724,96.47175534644077,-3.5282446535592302
META,831,51245.58952157387,512.4558952157387,57.52105896510229,1.6723014693225833,61.66737607890959,38.66555749819236,96.46482552186578,-3.535174478134226
BA,837,50924.9932164576,509.24993216457597,56.75029868578255,1.672399664712033,60.84228580221936,36.08251808454315,95.86133423754801,-4.138665762451993
LLY,853,50593.41639720711,505.9341639720711,57.209847596717466,1.658427580107762,59.312328718882895,36.08251808454315,95.23717320603858,-4.762826793961413
AVGO,796,46770.31258745931,467.70312587459307,57.78894472361809,1.700253148252203,58.75667410484838,38.44385765579592,88.04055305975179,-11.959446940248206
NVDA,753,45568.664342193675,455.68664342193676,57.104913678618864,1.681544095113673,60.51615450490528,30.56984916361125,85.77856740595409,-14.221432594045902
AMD,732,40910.85702477922,409.1085702477923,57.103825136612016,1.6532053192482405,55.889148940955224,30.026426247665313,77.01069929508579,-22.989300704914214
TSLA,713,39794.28607073283,397.9428607073283,57.643758765778394,1.6483620236684753,55.81246293230411,38.53462683555336,74.90886334646187,-25.091136653538122
