Dataset,Factor,Horizon,N,Average_Return,Median_Return,Win_Rate
TEST_BASELINE,None,Future_Return_1D,34545,0.04283499753353116,0.052371531210950006,51.81357649442756
TEST_BASELINE,None,Future_Return_3D,34545,0.22555173048783841,0.20388660791403002,53.449124330583295
TEST_BASELINE,None,Future_Return_5D,34545,0.4062114147904564,0.36379498444858,54.844405847445366
TEST_BASELINE,None,Future_Return_10D,34545,0.8374617424205285,0.71713025156325,56.15863366623245
TEST_Q80,ATR_Pct,Future_Return_1D,3829,0.17226051415320318,0.1181207405325,52.259075476625746
TEST_Q80,ATR_Pct,Future_Return_3D,3829,0.7367025868316655,0.68166154264279,57.273439540349955
TEST_Q80,ATR_Pct,Future_Return_5D,3829,1.216077098429214,1.23797936968721,59.388874379733615
TEST_Q80,ATR_Pct,Future_Return_10D,3829,2.4929750354340596,2.5712854042718,61.896056411595715
TEST_Q80,Return_10D,Future_Return_1D,6433,0.07216058769651278,0.05965539761576,51.546712264884185
TEST_Q80,Return_10D,Future_Return_3D,6433,0.37314981413909576,0.26057605900459996,54.67122648841909
TEST_Q80,Return_10D,Future_Return_5D,6433,0.6459042312304781,0.5471512395921,57.06513290844085
TEST_Q80,Return_10D,Future_Return_10D,6433,1.141611950780595,0.87984518670576,57.17394683662366
TEST_COMBINED_Q80,ATR_Pct + Return_10D,Future_Return_1D,1171,0.21987057909645583,0.17137557641806,53.543979504696836
TEST_COMBINED_Q80,ATR_Pct + Return_10D,Future_Return_3D,1171,0.8732662270781699,0.75096923407758,58.07002561912895
TEST_COMBINED_Q80,ATR_Pct + Return_10D,Future_Return_5D,1171,1.5025844650285547,1.2953240417751,60.71733561058924
TEST_COMBINED_Q80,ATR_Pct + Return_10D,Future_Return_10D,1171,2.648647096281988,2.67146656964814,61.48590947907772
