Ticker,Trades,PnL,Avg_PnL,Win_Rate,Contribution_pct
TSLA,159,13329.315453802128,83.83217266542219,55.9748427672956,25.091136653538115
AMD,140,12212.744499755729,87.23388928396949,58.57142857142858,22.9893007049142
NVDA,119,7554.937182341276,63.486867078498115,58.82352941176471,14.22143259404589
AVGO,76,6353.288937075642,83.59590706678476,52.63157894736842,11.959446940248197
LLY,19,2530.1851273278453,133.16763828041292,63.1578947368421,4.7628267939614135
BA,35,2198.6083080773483,62.81738023078138,71.42857142857143,4.138665762451983
META,41,1878.012002961084,45.805170803928874,53.65853658536586,3.5351744781342247
COP,31,1874.3306305675153,60.46227840540372,70.96774193548387,3.5282446535592307
NFLX,62,1821.1846773118048,29.373946408254916,58.06451612903226,3.428202578604721
ADBE,14,1132.7040317449864,80.9074308389276,64.28571428571429,2.132204894319619
WMT,3,1034.093520528675,344.69784017622504,66.66666666666666,1.9465802220715065
GOOGL,10,969.3036708695126,96.93036708695126,50.0,1.8246196474872713
NKE,13,947.3656024965753,72.87427711512117,61.53846153846154,1.783323372868531
GS,2,841.6284265481818,420.8142132740909,100.0,1.5842834491548514
BAC,3,778.816430103283,259.60547670109435,100.0,1.46604599039391
MS,5,494.8574796280488,98.97149592560976,80.0,0.931520953825957
CAT,6,420.1234025891773,70.02056709819622,83.33333333333334,0.7908413408212631
AMT,4,207.85595377923437,51.96398844480859,50.0,0.3912685657865963
JPM,2,122.90325790480391,61.451628952401954,100.0,0.23135339920061976
PFE,1,115.0348956244004,115.0348956244004,100.0,0.2165419744202996
AAPL,1,114.66691609000918,114.66691609000918,100.0,0.21584928882702092
GE,8,108.84451475107016,13.60556434388377,75.0,0.20488918602553832
V,2,92.08848237060556,46.04424118530278,100.0,0.17334758888302176
BLK,3,85.0717627053159,28.3572542351053,66.66666666666666,0.16013929828538784
PLD,3,81.37182157215989,27.123940524053296,66.66666666666666,0.15317451986868502
UPS,3,71.58440635207171,23.861468784023902,33.33333333333333,0.13475066504858613
CVX,5,53.726076041859415,10.745215208371883,60.0,0.10113409953398246
UNH,11,-22.911663262729917,-2.0828784784299925,54.54545454545454,-0.04312897206743077
MA,4,-71.39677669053367,-17.849194172633418,25.0,-0.1343974705057587
XOM,7,-90.99739036298388,-12.999627194711982,57.14285714285714,-0.1712937145666922
DIS,2,-116.69406347107952,-58.34703173553976,0.0,-0.21966519611285154
NEE,3,-120.63766185484835,-40.212553951616115,33.33333333333333,-0.22708863554578884
CRM,19,-429.6689390772451,-22.61415468827606,36.84210526315789,-0.8088098825129616
MRK,4,-502.25955255304336,-125.56488813826084,25.0,-0.9454546343607302
AMZN,28,-1464.8904957550108,-52.3175177055361,39.285714285714285,-2.7575135226448375
ORCL,24,-1481.5894033579139,-61.732891806579744,45.83333333333333,-2.788947587963603
