ATR_Q,Return10_Q,Observations,Return_1D,WinRate_1D,Return_3D,WinRate_3D,Return_5D,WinRate_5D
Q4,Q2,3164,0.0006591089571953637,0.5268647281921618,0.0020854260670441147,0.5338179519595448,0.003951209629807344,0.5474083438685209
Q4,Q1,4280,0.00012022669708941432,0.5170560747663552,0.002044645399313984,0.5179906542056075,0.0036844591571292408,0.547429906542056
Q4,Q4,2646,2.199260223933529e-05,0.5071806500377929,0.001555743741969256,0.5385487528344671,0.0036388907836452,0.5438397581254724
Q4,Q3,2515,4.0559900579694744e-05,0.5057654075546719,0.001985823987929347,0.5355864811133201,0.00346127367629174,0.5431411530815109
Q4,Q5,4268,0.00045556391620202546,0.5142924086223055,0.0027385663559627888,0.5365510777881912,0.005265711104423091,0.5609184629803187
Q5,Q2,2081,0.00036066969047519935,0.5156174915905815,0.002929901979510107,0.5367611725132148,0.004874024940291607,0.5641518500720807
Q5,Q1,6704,0.002141434548238711,0.5258054892601431,0.003935369381115522,0.5335620525059666,0.006515317222978095,0.5593675417661098
Q5,Q4,1755,0.0004229935062681646,0.5076923076923077,0.006049803615256697,0.5470085470085471,0.010002422355731648,0.576068376068376
Q5,Q3,1464,0.00028825291034720405,0.505464480874317,0.005506140901787114,0.5860655737704918,0.007861813041976046,0.5512295081967213
Q5,Q5,4869,-1.226673023296728e-05,0.4959950708564387,0.004897011467983777,0.5434380776340111,0.009775344237640902,0.5707537482029164
Q3,Q2,3774,-1.9222891731653698e-05,0.510863804981452,0.0004088893679133134,0.5243773184949656,0.0015768550976248713,0.5363010068892422
Q3,Q1,3088,-0.00019754422275219423,0.5113341968911918,0.0022134885997102632,0.5343264248704663,0.0039764397337934045,0.5534326424870466
Q3,Q4,3334,5.67039909654316e-05,0.5152969406118776,0.00027291142813230763,0.5182963407318536,0.0010059558306156021,0.5389922015596881
Q3,Q3,3200,1.2063429486038613e-05,0.5059375,0.0009696472023030801,0.533125,0.0019313004985086536,0.5415625
Q3,Q5,3477,0.00010119255150995408,0.5076215127983894,0.0014991513371489709,0.5349439171699741,0.00303151275708673,0.5519125683060109
Q2,Q2,4045,0.0001390651898433709,0.519406674907293,0.0011644759692033494,0.5300370828182942,0.001619548051871805,0.5339925834363412
Q2,Q1,1985,-0.0002677439027181488,0.4982367758186398,0.0007569109520743166,0.5168765743073048,0.0029601401703594292,0.5380352644836272
Q2,Q4,4078,-0.00028083432959448646,0.5063756743501716,-0.0003857664649516786,0.5012260912211869,0.0003251295692870912,0.5201078960274644
Q2,Q3,4057,0.0002063512468680573,0.5117081587379837,0.001113754571546792,0.5378358392901158,0.001947650854470192,0.5306877002711363
Q2,Q5,2708,0.0005505614404252644,0.5254800590841949,0.0024861493776889626,0.5572378138847858,0.003329805047296329,0.5749630723781388
Q1,Q2,3809,3.4832982701058576e-06,0.5087949593069047,2.5688583754932577e-06,0.5148332895773169,0.0001872611119817869,0.5224468364400106
Q1,Q1,816,-0.0008951173003693152,0.4742647058823529,-0.001074954770486483,0.5061274509803921,0.0006971623975457069,0.5294117647058824
Q1,Q4,5060,7.898263821914059e-06,0.5077075098814229,0.0010567059830287988,0.5395256916996047,0.00235049904782964,0.5662055335968379
Q1,Q3,5637,0.00032481528037997515,0.5318431789959198,0.001284918373413103,0.5488735142806457,0.0019504545323893304,0.5565016852935959
Q1,Q5,1551,0.0004960736548565874,0.5203094777562862,0.0018808950083615433,0.5454545454545454,0.0029183424005123303,0.5647969052224371
