Window,Train_Start,Train_End,Test_Start,Test_End,Strategy,Horizon_Days,N,Selection_pct,Mean_Return,Median_Return,Win_Rate,Baseline_Mean_Return,Excess_vs_Baseline,ATR_Q80_Train,Return10_Q80_Train
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,BASELINE,1,11797,100.0,2.1387587392342835e-05,0.0003309690164268,0.5078409765194541,2.1387587392342835e-05,0.0,0.032140927658263777,0.050548994091881086
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,BASELINE,3,11797,100.0,-0.0007464138787814467,0.00018927252984,0.5022463338136814,-0.0007464138787814467,0.0,0.032140927658263777,0.050548994091881086
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,BASELINE,5,11797,100.0,-0.0013217903805528806,0.0003251809451023,0.5026701703823006,-0.0013217903805528806,0.0,0.032140927658263777,0.050548994091881086
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,BASELINE,10,11797,100.0,-0.002264109933698092,-0.0002950794908479,0.498516572009833,-0.002264109933698092,0.0,0.032140927658263777,0.050548994091881086
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,ATR_Q80,1,4342,36.80596761888616,0.0005646132934495261,0.001167632506697,0.5170428374021189,2.1387587392342835e-05,0.0005432257060571833,0.032140927658263777,0.050548994091881086
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,ATR_Q80,3,4342,36.80596761888616,0.0015362102278050247,0.0022352097968292997,0.5209580838323353,-0.0007464138787814467,0.0022826241065864714,0.032140927658263777,0.050548994091881086
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,ATR_Q80,5,4342,36.80596761888616,0.00238024549602869,0.0046565391619009504,0.536158452326117,-0.0013217903805528806,0.0037020358765815706,0.032140927658263777,0.050548994091881086
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,ATR_Q80,10,4342,36.80596761888616,0.0038632511786246466,0.00899914221080525,0.5375403040073699,-0.002264109933698092,0.006127361112322739,0.032140927658263777,0.050548994091881086
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,RETURN10_Q80,1,2496,21.157921505467492,0.0007223760660855649,0.00109314873775275,0.5308493589743589,2.1387587392342835e-05,0.000700988478693222,0.032140927658263777,0.050548994091881086
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,RETURN10_Q80,3,2496,21.157921505467492,0.0005139500808713304,0.00287026897538095,0.5380608974358975,-0.0007464138787814467,0.001260363959652777,0.032140927658263777,0.050548994091881086
W1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,RETURN10_Q80,5,2496,21.157921505467492,0.0006000957411305494,0.0035556983751031997,0.5440705128205128,-0.0013217903805528806,0.00192188612168343,0.032140927658263777,0.050548994091881086
