Group,Year,Horizon,Observations,Mean,Median,Positive_Fraction
BASELINE,ALL,1,93107,0.00022807860001141563,0.0003840089505728,0.5122278668628567
BASELINE,ALL,3,93107,0.0015898497275952334,0.0017048687728609,0.5287035346429377
BASELINE,ALL,5,93107,0.002962422308604464,0.0032065611571727,0.5421719097382581
BASELINE,2018,1,11186,-0.0005126898641590027,0.0,0.4996424101555516
BASELINE,2018,3,11186,-0.0008864822630037585,0.0003314626734023,0.506079027355623
BASELINE,2018,5,11186,-0.0010083184538250687,0.0008097324259215,0.5100125156445557
BASELINE,2019,1,11844,0.000494230682276488,0.0006027024058419,0.5241472475515029
BASELINE,2019,3,11844,0.0029215489730519805,0.0030206967584889997,0.5615501519756839
BASELINE,2019,5,11844,0.00509086537869714,0.0053662865882587,0.5929584599797366
BASELINE,2020,1,11891,0.00016974879577844488,-4.9297047399976535e-05,0.4965940627365234
BASELINE,2020,3,11891,0.002475240499359234,0.001755717077096,0.5263644773358002
BASELINE,2020,5,11891,0.004989296907789549,0.0044041966415244,0.543352115044992
BASELINE,2021,1,11844,0.00034184841555517074,0.00038443762073145,0.5150287065180682
BASELINE,2021,3,11844,0.002682566425423419,0.0023892147122486,0.5427220533603513
BASELINE,2021,5,11844,0.00478580571646639,0.004284938424393351,0.5609591354272205
BASELINE,2022,1,11797,2.13875873923434e-05,0.0003309690164268,0.5078409765194541
BASELINE,2022,3,11797,-0.000889562066785358,0.0,0.49995761634313807
BASELINE,2022,5,11797,-0.0016075099373351082,-4.603854163953702e-05,0.498516572009833
BASELINE,2023,1,11750,0.0008538834710148556,0.00074613454472825,0.5262978723404256
BASELINE,2023,3,11750,0.0028015780860512172,0.0019276989876252002,0.5342978723404256
BASELINE,2023,5,11750,0.004651661637796283,0.0028490444970169,0.5407659574468086
BASELINE,2024,1,11844,9.423357150877804e-06,0.00028893394107725,0.5100472813238771
BASELINE,2024,3,11844,0.0017083775274175906,0.00153532416592025,0.5271023302938197
BASELINE,2024,5,11844,0.003323517953119701,0.0028331207639971,0.5397669706180345
BASELINE,2025,1,10951,0.0004248569876211124,0.0005575817775085,0.5181261985206831
BASELINE,2025,3,10951,0.0017784402684482947,0.0020454549001187,0.5303625239704136
BASELINE,2025,5,10951,0.0032633828855782045,0.0041202951604899,0.5496301707606611
A,ALL,1,13850,0.00031890063990685884,0.0006375390659682501,0.5224548736462094
A,ALL,3,13850,0.0023130731036043665,0.00246740511265025,0.5437545126353791
A,ALL,5,13850,0.0035332910457183016,0.0037619350032438,0.5516967509025271
A,2018,1,1347,-0.0006436640484711197,0.0005068215954837,0.5107646622123236
A,2018,3,1347,0.0002136376594258698,0.0012852603348343,0.5315515961395694
A,2018,5,1347,0.00034262598717313875,0.0026248813611855,0.5412026726057907
A,2019,1,2028,0.0008386707471899491,0.0009764525492427501,0.5443786982248521
A,2019,3,2028,0.0028026124246177536,0.0037659962507624,0.5828402366863905
A,2019,5,2028,0.00501482063333673,0.0058542601798470505,0.6084812623274162
A,2020,1,2010,0.00047920275056723415,0.00030061645439335,0.508955223880597
A,2020,3,2010,0.004762837770819372,0.0034419918080057,0.5517412935323384
A,2020,5,2010,0.00713488959176497,0.00600468291109665,0.5686567164179105
A,2021,1,2005,-0.0007277262646795612,-0.0001965755061819,0.48927680798004985
A,2021,3,2005,0.0011232000446477093,0.0015082582009158,0.5251870324189526
A,2021,5,2005,0.001899578502984769,0.0019669357463278,0.5241895261845386
A,2022,1,1333,0.0004116556373103561,0.0007394624004199,0.5206301575393848
