Removed_Ticker,Horizon,Remaining_N,Mean_Net,Win_Rate_Net
AAPL,1,7587,-0.00029202296179531447,0.49769342296032687
AAPL,3,7587,0.0004605167243577608,0.5110056675892974
AAPL,5,7587,0.0020073682697839806,0.5347304599973639
ABBV,1,7652,-0.00026413899570323245,0.49856246732880294
ABBV,3,7652,0.0005307532509896421,0.5135912179822268
ABBV,5,7652,0.002065146372986217,0.5359383167799269
ADBE,1,7637,-0.00021829904220740706,0.49993452926541837
ADBE,3,7637,0.0005909525664009559,0.5138143249967264
ADBE,5,7637,0.002170887799993881,0.5381694382610973
AMD,1,7639,-0.0002872555349765804,0.4994109176593795
AMD,3,7639,0.00030721600733634114,0.5123707291530305
AMD,5,7639,0.0018756078828105066,0.5364576515250687
AMT,1,7655,-0.00023721555086916136,0.4996734160679295
AMT,3,7655,0.0005316310523622161,0.5131286740692358
AMT,5,7655,0.002203411067370067,0.5375571521881124
AMZN,1,7629,-0.00020338522115608042,0.5008520120592476
AMZN,3,7629,0.0005611020700194584,0.5142220474505178
AMZN,5,7629,0.0021154621460830227,0.5378162275527593
AVGO,1,7624,-0.0002758659286774095,0.49921301154249736
AVGO,3,7624,0.0003925810962425647,0.5136411332633788
AVGO,5,7624,0.0020303676867534505,0.5375131164742917
BA,1,7696,-0.00023594779064774996,0.49935031185031187
BA,3,7696,0.0004969582919986977,0.5135135135135135
BA,5,7696,0.0020208378504172637,0.536512474012474
BAC,1,7658,-0.00026248956326306247,0.4984330112300862
BAC,3,7658,0.0005235367923568719,0.5141028989292243
BAC,5,7658,0.00215137985067034,0.5376077304779315
BLK,1,7628,-0.0002461614136121142,0.49947561615102254
BLK,3,7628,0.0004702732479012774,0.5117986366019927
BLK,5,7628,0.0021092785792112064,0.536837965390666
CAT,1,7640,-0.0002593422300226775,0.4993455497382199
CAT,3,7640,0.00047455467713366356,0.512565445026178
CAT,5,7640,0.0021371049490033368,0.53717277486911
COP,1,7666,-0.0002281544691851094,0.4994782154969997
COP,3,7666,0.0005547903004813522,0.5127837203235064
COP,5,7666,0.0020750220588326334,0.5371771458387686
COST,1,7578,-0.00025992042824133954,0.49828450778569544
COST,3,7578,0.0004995311247173728,0.5126682501979414
COST,5,7578,0.0020651166125119935,0.5357614146212721
CRM,1,7647,-0.00026193022686493516,0.5003269255917353
CRM,3,7647,0.0005798557662012579,0.5147116516280894
CRM,5,7647,0.002176100882193738,0.5379887537596443
CVX,1,7687,-0.0002193396273466531,0.5001951346429035
CVX,3,7687,0.0005714974047845782,0.5145050084558346
CVX,5,7687,0.00214472315792945,0.537921165604267
DIS,1,7707,-0.00024702795381278427,0.49967561956662776
DIS,3,7707,0.0004703418929968781,0.5130400934215648
DIS,5,7707,0.0020602937945066162,0.5373037498378098
DUK,1,7657,-0.00021406732676384845,0.5005876975316703
DUK,3,7657,0.0005236211417596583,0.5136476426799007
DUK,5,7657,0.002143613525474818,0.5382003395585738
GE,1,7642,-0.00019256022335094463,0.4997382884061764
GE,3,7642,0.0004944945275386737,0.5124313007066214
GE,5,7642,0.0019834911020861,0.5372939021198639
GOOGL,1,7642,-0.00022333657514705935,0.5009159905783827
GOOGL,3,7642,0.0006024274588372455,0.5143941376602984
GOOGL,5,7642,0.002227276577349544,0.5391258832766291
GS,1,7633,-0.000296077516861731,0.4974453032883532
GS,3,7633,0.00038643970102294074,0.5121184331193502
GS,5,7633,0.0019592813272529337,0.5354382287436132
HD,1,7645,-0.00025596998812693557,0.4984957488554611
HD,3,7645,0.000477280969410259,0.5120994113799869
HD,5,7645,0.0020717963251026743,0.5368214519293656
HON,1,7655,-0.00023925800911935938,0.49941214892227304
HON,3,7655,0.0004665060440664735,0.5124755062050947
HON,5,7655,0.002065842797534935,0.5362508164598302
JNJ,1,7658,-0.0002595506402070564,0.4986941760250718
JNJ,3,7658,0.0005269350365397892,0.5135805693392531
JNJ,5,7658,0.002122639147766138,0.5376077304779315
JPM,1,7626,-0.0002288351978220555,0.498950957251508
JPM,3,7626,0.0004916548695400106,0.512326252294781
JPM,5,7626,0.002082394723191838,0.5357985837922895
KO,1,7657,-0.00021864352667068802,0.5017630925950111
KO,3,7657,0.000534769614452522,0.5135170432284184
KO,5,7657,0.0021418943492213993,0.53741674284968
LLY,1,7626,-0.0002914091107842557,0.497901914503016
LLY,3,7626,0.0003961956759193732,0.5115394702334121
LLY,5,7626,0.0019591615889183976,0.535405192761605
LOW,1,7650,-0.00024342509919418368,0.49947712418300655
LOW,3,7650,0.0004775979705022333,0.5130718954248366
LOW,5,7650,0.002087501362488518,0.5369934640522875
MA,1,7630,-0.00023972707586324786,0.4986893840104849
MA,3,7630,0.0005830802700394889,0.5142857142857142
MA,5,7630,0.0022219278698277045,0.5378768020969856
MCD,1,7667,-0.0002270785022203582,0.5001956436676667
MCD,3,7667,0.0005562986624490738,0.5138907004043303
MCD,5,7667,0.0021642822488932793,0.5377592278596582
META,1,7643,-0.00024404501152461077,0.5008504513934319
META,3,7643,0.0005699005595890118,0.5140651576606045
META,5,7643,0.0021004367524619172,0.537092764621222
MRK,1,7674,-0.000206778088875697,0.5009121709669012
MRK,3,7674,0.0005392487275061378,0.5136825645035183
MRK,5,7674,0.0020861426467971363,0.5368777690904353
MS,1,7647,-0.00026560859637437184,0.49823460180462925
MS,3,7647,0.00042265465248980997,0.5119654766575128
MS,5,7647,0.0020301468911297802,0.5362887406826207
MSFT,1,7590,-0.000215427527611033,0.49881422924901186
MSFT,3,7590,0.0005262305708915094,0.5125164690382081
MSFT,5,7590,0.0020548185345715623,0.5349143610013175
NEE,1,7640,-0.0001956934188050377,0.500130890052356
NEE,3,7640,0.0005154072986589694,0.5130890052356021
NEE,5,7640,0.0021414877607908093,0.537303664921466
NFLX,1,7630,-0.0003068550111441019,0.4977719528178244
NFLX,3,7630,0.00044976895323530516,0.5125819134993447
NFLX,5,7630,0.0021158632275243765,0.5385321100917431
NKE,1,7665,-0.0002407566852551984,0.49928245270711025
NKE,3,7665,0.0005624056078839584,0.5140247879973907
NKE,5,7665,0.0021817118974410145,0.5386823222439661
NVDA,1,7602,-0.00017906229213601223,0.5009208103130756
NVDA,3,7602,0.000430190144023312,0.5135490660352539
NVDA,5,7602,0.0018924161690157548,0.5360431465403841
ORCL,1,7644,-0.000254908598468372,0.49921507064364207
ORCL,3,7644,0.00048593303704085316,0.5120355834641549
ORCL,5,7644,0.0020608923020813907,0.5366300366300366
PEP,1,7667,-0.0002015251212689424,0.4995434981087779
PEP,3,7667,0.0005248905493504118,0.513499413068997
PEP,5,7667,0.0021498211671007795,0.5377592278596582
PFE,1,7677,-0.0002292475650825277,0.5005861664712778
PFE,3,7677,0.0005209838022447811,0.5140028657027484
PFE,5,7677,0.002101076285106412,0.5373192653380227
PLD,1,7640,-0.00021076326417825023,0.5006544502617801
PLD,3,7640,0.000549703932030349,0.5129581151832461
PLD,5,7640,0.002194652171170303,0.5379581151832461
TSLA,1,7645,-0.0002422249198835937,0.49941137998691953
TSLA,3,7645,0.00017502664344497108,0.5117069980379333
TSLA,5,7645,0.0014610065050822407,0.5349901896664486
UNH,1,7668,-0.0002549272047797519,0.49856546687532605
UNH,3,7668,0.0005009284226295869,0.5131716223265519
UNH,5,7668,0.0021778618938381954,0.5387323943661971
UPS,1,7693,-0.0002454029772566306,0.5000649941505264
UPS,3,7693,0.0005429951942549523,0.5144936955673989
UPS,5,7693,0.0022118784542180876,0.5385415312621864
V,1,7628,-0.00022254166374501697,0.5001310959622444
V,3,7628,0.0005946508276955332,0.51442055584688
V,5,7628,0.0022311867826557462,0.5377556371263765
WMT,1,7632,-0.000237593045893026,0.49842767295597484
WMT,3,7632,0.0004823081588769224,0.5128406708595388
WMT,5,7632,0.0021244622025192303,0.53708071278826
XOM,1,7649,-0.00020120299779009706,0.500196104065891
XOM,3,7649,0.0006031425255732575,0.5141848607661132
XOM,5,7649,0.0021788554439711094,0.5377173486730291
