Horizon,Ticker,N,Mean_Net,Contribution_Net
1,NFLX,182,0.0025606339153175874,0.4660353725878009
1,GS,179,0.002149113540580426,0.38469132376389625
1,LLY,186,0.0018656855720378326,0.3470175163990369
1,AAPL,225,0.0015124882164415747,0.3403098486993543
1,AMD,173,0.0018443738106612778,0.31907666924440103
1,AVGO,188,0.0012124121159301812,0.22793347779487405
1,MS,165,0.0009444883274734822,0.15584057403312457
1,ABBV,160,0.0009120202042464859,0.14592323267943774
1,BAC,154,0.0008758228118625672,0.13487671302683535
1,CRM,165,0.0007740126205725015,0.12771208239446274
1,JNJ,154,0.0007296781835320869,0.11237044026394138
1,CAT,172,0.0006168969472765096,0.10610627493155966
1,COST,234,0.0004034557383383509,0.09440864277117411
1,HD,167,0.0004887556693935679,0.08162219678872584
1,UNH,144,0.000552176693121119,0.07951344380944114
1,ORCL,168,0.0004360295491103496,0.07325296425053873
1,DIS,105,0.00027215311993744395,0.028576077593431615
1,UPS,119,0.00010602303860136478,0.012616741593562408
1,BLK,184,1.3320111910381564e-05,0.0024509005915102078
1,META,169,-5.936295478755541e-05,-0.010032339359096865
1,LOW,162,-8.065650374192466e-05,-0.013066353606191794
1,TSLA,167,-0.00014047215527917867,-0.02345884993162284
1,NKE,147,-0.00020318619020816888,-0.029868369960600827
1,HON,157,-0.00027865160912738995,-0.043748302633000224
1,MA,182,-0.0002535756791489871,-0.04615077360511566
1,AMT,157,-0.00037823771043481673,-0.05938332053826623
1,BA,116,-0.0005121910829018377,-0.05941416561661317
1,WMT,180,-0.0003442124232562343,-0.06195823618612217
1,PFE,135,-0.0008543318911343087,-0.11533480530313167
1,COP,146,-0.0008646315182784119,-0.12623620166864813
1,JPM,186,-0.0006998448594123742,-0.1301711438507016
1,MCD,145,-0.0009259136959876556,-0.13425748591821007
1,GOOGL,170,-0.0009913544421639366,-0.16853025516786924
1,V,184,-0.0009658725619277566,-0.17772055139470722
1,CVX,125,-0.0015136371762237949,-0.18920464702797435
1,KO,155,-0.0012975153466079931,-0.20111487872423894
1,ADBE,175,-0.001189249012021309,-0.20811857710372905
1,DUK,155,-0.001523579622005867,-0.23615484141090937
1,MSFT,222,-0.0010818622877205226,-0.240173427873956
1,PLD,172,-0.0015409129309294494,-0.2650370241198653
1,MRK,138,-0.0020902413652869414,-0.28845330840959793
1,AMZN,183,-0.00176853830733311,-0.3236425102419591
1,PEP,145,-0.002277070742570451,-0.3301752576727154
1,XOM,163,-0.0020629854745107,-0.3362666323452441
1,NEE,172,-0.002210294434716329,-0.3801706427712086
1,GE,170,-0.0023748419740810467,-0.4037231355937779
1,NVDA,210,-0.0024477943696368186,-0.5140368176237319
3,TSLA,167,0.015408744139948988,2.573260271371481
3,AMD,173,0.009043444395757086,1.5645158804659758
3,GS,179,0.005372316886034516,0.9616447226001784
3,AVGO,188,0.004884578099760487,0.9183006827549715
3,LLY,186,0.004784681376059917,0.8899507359471447
3,MS,165,0.004116962623749749,0.6792988329187085
3,NVDA,210,0.003052540407824131,0.6410334856430675
3,NFLX,182,0.0026351749852906972,0.4796018473229069
3,AAPL,225,0.0018551047680264614,0.4173985728059538
3,HON,157,0.0021671031412702608,0.34023519317943096
3,BLK,184,0.0017613838343333715,0.32409462551734036
3,DIS,105,0.0027277522969651907,0.28641399118134503
3,CAT,172,0.001661286204692417,0.2857412272070957
3,HD,167,0.0015720116728554206,0.26252594936685525
3,LOW,162,0.001590830161519755,0.2577144861662003
3,WMT,180,0.001279794955331186,0.23036309195961346
3,ORCL,168,0.0011718263414762138,0.19686682536800393
3,JPM,186,0.0008708544376137825,0.16197892539616354
3,GE,170,0.0007788928297514136,0.13241178105774032
3,COST,234,0.0005380004162394598,0.1258920974000336
3,BA,116,0.0007478271145371353,0.08674794528630769
3,UNH,144,0.00048763760961536423,0.07021981578461245
3,NEE,172,-0.00015333023980372725,-0.026372801246241084
3,MSFT,222,-0.00037275257909131365,-0.08275107255827163
3,PFE,135,-0.0006537310320362886,-0.08825368932489897
3,BAC,154,-0.000635751917926234,-0.09790579536064004
3,DUK,155,-0.0006324394964220594,-0.09802812194541921
3,PEP,145,-0.0007792888369746431,-0.11299688136132324
3,JNJ,154,-0.0008047373332040269,-0.12392954931342015
3,ABBV,160,-0.0009374057254028546,-0.14998491606445674
3,AMT,157,-0.001008259524359741,-0.15829674532447935
3,KO,155,-0.00118317404744952,-0.1833919773546756
3,MRK,138,-0.0016438824229986705,-0.22685577437381654
3,UPS,119,-0.0022346476377736444,-0.2659230688950637
3,PLD,172,-0.0016767388383929144,-0.2883990802035813
3,COP,146,-0.0023402978286422025,-0.34168348298176154
3,MCD,145,-0.002440019893025963,-0.3538028844887646
3,AMZN,183,-0.0020180805009298534,-0.3693087316701632
3,NKE,147,-0.002717687237566366,-0.3995000239222558
3,META,169,-0.0026296509847960475,-0.44441101643053205
3,CVX,125,-0.003854092720566138,-0.48176159007076724
3,CRM,165,-0.0031685944462589966,-0.5228180836327344
3,MA,182,-0.0029536456038077702,-0.5375634998930142
3,ADBE,175,-0.0034386616519760894,-0.6017657890958157
3,V,184,-0.0033948780062676197,-0.624657553153242
3,GOOGL,170,-0.004073009881917328,-0.6924116799259458
3,XOM,163,-0.004307351028230442,-0.7020982176015621
5,TSLA,167,0.030792515715525836,5.142350124492815
5,AMD,173,0.011468070745994699,1.983976239057083
5,NVDA,210,0.00916951018566084,1.9255971389887763
5,LLY,186,0.007371927842767967,1.3711785787548418
5,GS,179,0.007578494329189376,1.3565504849248984
5,GE,170,0.006787681492379803,1.1539058537045666
5,AAPL,225,0.004808185746646583,1.081841792995481
5,AVGO,188,0.0044267107023310565,0.8322216120382386
5,MS,165,0.004770979268952194,0.787211579377112
5,BA,116,0.006546351370993807,0.7593767590352816
5,MSFT,222,0.0032237485515693035,0.7156721784483854
5,COST,234,0.002830304129190851,0.6622911662306591
5,ORCL,168,0.0033231196353356723,0.558284098736393
5,ABBV,160,0.003182780060975072,0.5092448097560115
5,HON,157,0.0031701798771759013,0.4977182407166165
5,HD,167,0.0028315086852490883,0.47286195043659773
5,DIS,105,0.0041243864912766815,0.4330605815840516
5,JPM,186,0.0023193693375569238,0.43140269678558785
5,COP,146,0.0027714092659971035,0.4046257528355771
5,LOW,162,0.0021133298321566814,0.3423594328093824
5,MRK,138,0.0021933781472849283,0.30268618432532013
5,META,169,0.0015272589158586475,0.2581067567801114
5,BLK,184,0.0012074339870840455,0.22216785362346436
5,PFE,135,0.0013465349265527515,0.18178221508462145
5,AMZN,183,0.0009447220949681052,0.17288414337916325
5,NFLX,182,0.0009214748892063248,0.16770842983555112
5,WMT,180,0.0005436073678876663,0.09784932621977993
5,JNJ,154,0.0003673653393082046,0.056574262253463514
5,CAT,172,-9.149392173807603e-05,-0.015736954538949077
5,NEE,172,-0.0002861723057862638,-0.04922163659523737
5,KO,155,-0.000572517265430378,-0.0887401761417086
5,DUK,155,-0.000657444572349309,-0.1019039087141429
5,BAC,154,-0.0010618314323825966,-0.16352204058691988
5,PEP,145,-0.0011788553952767696,-0.1709340323151316
5,CVX,125,-0.0013979364732571362,-0.17474205915714203
5,ADBE,175,-0.0015275729868955727,-0.26732527270672524
5,MCD,145,-0.001943497561505004,-0.2818071464182256
5,CRM,165,-0.001993324789630137,-0.3288985902889726
5,XOM,163,-0.002173745000542771,-0.35432043508847166
5,UNH,144,-0.002695139903505111,-0.388100146104736
5,NKE,147,-0.002796441075094102,-0.411076838038833
5,PLD,172,-0.00264766123194517,-0.4553977318945692
5,AMT,157,-0.003537368566059374,-0.5553668648713217
5,MA,182,-0.003525081268894722,-0.6415647909388393
5,UPS,119,-0.005917950356749606,-0.7042360924532032
5,V,184,-0.0038464560991928708,-0.7077479222514882
5,GOOGL,170,-0.004171192636815714,-0.7091027482586714
