Date,Ticker,Episode_ID,Rebound_Date,Prior_Close,Prior_Prior_Close,SMA20,Open,High,Low,Close,SMA50,Prior_Distance_SMA50,Prior_Return_10D,Session,Entry_Date,Entry_Open,Future_Return_1D,Future_Return_3D,Future_Return_5D,Exit_Date_1D,Exit_Date_3D,Exit_Date_5D
2022-03-03,AAPL,AAPL:2022-03-02,2022-03-02,166.55999755859375,163.1999969482422,168.61550064086913,168.47000122070312,168.91000366210938,165.5500030517578,166.22999572753906,170.79340026855468,-0.025188499767026862,-0.036055303950515594,1049,2022-03-04,164.49000549316406,-0.0080248481982913,-0.0428597654345072,-0.0362940058443321,2022-03-04,2022-03-08,2022-03-10
2022-10-20,AAPL,AAPL:2022-10-19,2022-10-19,143.86000061035156,143.75,143.82349853515626,143.02000427246094,145.88999938964844,142.64999389648438,143.38999938964844,154.53139953613282,-0.07216068706620549,-0.01734968163952777,1209,2022-10-21,142.8699951171875,0.0307972933831515,0.0662840452464177,0.0135088402081013,2022-10-21,2022-10-25,2022-10-27
2024-02-08,AAPL,AAPL:2024-02-07,2024-02-07,189.41000366210935,189.3000030517578,188.98799896240234,189.38999938964844,189.5399932861328,187.3500061035156,188.32000732421875,190.51039978027345,-0.0059294480227752855,-0.026169646981442973,1535,2024-02-09,188.6499938964844,0.001060229067068,-0.0191359699292247,-0.025390900827493,2024-02-09,2024-02-13,2024-02-15
2024-04-04,AAPL,AAPL:2024-04-03,2024-04-03,169.64999389648438,168.83999633789062,171.8634994506836,170.2899932861328,171.9199981689453,168.82000732421875,168.82000732421875,179.44079956054688,-0.05733244472953691,-0.036517536731625944,1573,2024-04-05,169.58999633789062,-5.893335132822752e-05,0.0004717367343725,0.0321363114920034,2024-04-05,2024-04-09,2024-04-11
2024-04-26,AAPL,AAPL:2024-04-25,2024-04-25,169.88999938964844,169.02000427246094,169.3734992980957,169.8800048828125,171.33999633789062,169.17999267578125,169.3000030517578,173.28599975585936,-0.021275125975442233,-0.02942181269434707,1589,2024-04-29,173.3699951171875,0.0007498695649419,-0.023475758089966,0.0577378441918905,2024-04-29,2024-05-01,2024-05-03
2024-09-06,AAPL,AAPL:2024-09-05,2024-09-05,222.3800048828125,220.8500061035156,224.25050048828126,223.9499969482422,225.2400054931641,219.77000427246097,220.82000732421875,222.57500061035157,-0.0001960024968743479,-0.017756135698086317,1680,2024-09-09,220.82000732421875,0.0004075551802626,0.0083325617102667,0.0076079731005289,2024-09-09,2024-09-11,2024-09-13
2025-06-04,AAPL,AAPL:2025-06-03,2025-06-03,203.27000427246097,201.6999969482422,203.7305000305176,202.91000366210935,206.2400054931641,202.1000061035156,202.82000732421875,204.49400085449219,-0.007723599479474652,-0.026391390645904567,1865,2025-06-05,203.5,-0.0141031701090295,-0.0100737250700629,-0.0231941091926443,2025-06-05,2025-06-09,2025-06-11
2018-12-21,ABBV,ABBV:2018-12-20,2018-12-20,85.37000274658203,83.5199966430664,87.70950012207031,84.62999725341797,88.70999908447266,83.22000122070312,84.91999816894531,86.75740020751954,-0.01783924097591494,-0.05490976402003611,245,2018-12-24,84.8499984741211,-0.0081319366460821,0.0596347115967428,0.0865056464264266,2018-12-24,2018-12-27,2018-12-31
2019-03-04,ABBV,ABBV:2019-03-01,2019-03-01,80.0999984741211,79.23999786376953,79.81449928283692,80.4000015258789,80.7300033569336,79.11000061035156,79.45999908447266,83.54179992675782,-0.04214332105227947,-0.005216072857120224,292,2019-03-05,79.37999725341797,-0.0059208063437965,-0.0143612928835085,-0.0163768640380912,2019-03-05,2019-03-07,2019-03-11
2020-08-27,ABBV,ABBV:2020-08-26,2020-08-26,94.3499984741211,94.05999755859376,94.4784999847412,94.33000183105467,95.05999755859376,93.66999816894533,94.3000030517578,96.50120010375977,-0.022583668557742742,-0.012145363167878731,668,2020-08-28,94.5199966430664,-0.0037029040049882,-0.0241218669093565,-0.028036330835807,2020-08-28,2020-09-01,2020-09-03
2020-09-01,ABBV,ABBV:2020-08-31,2020-08-31,95.7699966430664,94.16999816894533,94.33049926757812,95.5199966430664,95.91999816894533,91.29000091552734,92.23999786376952,96.34059997558593,-0.006959715437440672,-0.006019738871199554,671,2020-09-02,92.06999969482422,0.0204192164619247,-0.0021722270979156,-0.0047789990535971,2020-09-02,2020-09-04,2020-09-09
2021-10-25,ABBV,ABBV:2021-10-22,2021-10-22,109.13999938964844,108.76000213623048,108.9060001373291,109.08000183105467,109.13999938964844,107.75,108.5,111.19800048828125,-0.019914232658666542,-0.018348632037486823,960,2021-10-26,108.80999755859376,0.0062494285491514,0.0079036911097112,0.0551419918631008,2021-10-26,2021-10-28,2021-11-01
