Group,Year,Horizon,Observations,Mean,Median,Negative_Fraction
BASELINE_GLOBAL,ALL,1,93107,0.0002280786000114,0.0003840089505728,0.4845285531700087
BASELINE_GLOBAL,ALL,3,93107,0.0015898497275952,0.0017048687728609,0.469868001331801
BASELINE_GLOBAL,ALL,5,93107,0.0029624223086044,0.0032065611571727,0.4567218361669907
BFR_V1,ALL,1,1563,0.0018942329190861,0.0012137064873722,0.4664107485604606
BFR_V1,ALL,3,1563,0.0023655404083073,0.0030678884676971,0.4516954574536148
BFR_V1,ALL,5,1563,0.0036468209500445,0.0059702269192332,0.4350607805502239
BASELINE_GLOBAL,2018,1,11186,-0.000512689864159,0.0,0.4955301269443948
BASELINE_GLOBAL,2018,3,11186,-0.0008864822630037,0.0003314626734023,0.4921330234221348
BASELINE_GLOBAL,2018,5,11186,-0.001008318453825,0.0008097324259215,0.4884677275165385
BFR_V1,2018,1,179,-0.000791745326039,-0.000339790035427,0.5083798882681564
BFR_V1,2018,3,179,-0.0026611941000369,0.0008354628233784,0.4916201117318435
BFR_V1,2018,5,179,0.0048221889702796,0.0099687025112427,0.3798882681564245
BASELINE_GLOBAL,2019,1,11844,0.0004942306822764,0.0006027024058419,0.4708713272543059
BASELINE_GLOBAL,2019,3,11844,0.0029215489730519,0.0030206967584889,0.4362546437014522
BASELINE_GLOBAL,2019,5,11844,0.0050908653786971,0.0053662865882587,0.4055217831813577
BFR_V1,2019,1,163,0.0002680271537233,0.0012260817019875,0.4478527607361963
BFR_V1,2019,3,163,0.0074099989391876,0.0081570734238105,0.3619631901840491
BFR_V1,2019,5,163,0.0117650521283646,0.0085566554699589,0.3435582822085889
BASELINE_GLOBAL,2020,1,11891,0.0001697487957784,-4.9297047399976535e-05,0.5005466319064839
BASELINE_GLOBAL,2020,3,11891,0.0024752404993592,0.001755717077096,0.471953578336557
BASELINE_GLOBAL,2020,5,11891,0.0049892969077895,0.0044041966415244,0.4558910100075687
BFR_V1,2020,1,215,0.0089390889221193,0.0040916946673008,0.413953488372093
BFR_V1,2020,3,215,-0.0066478359825527,-0.0013179969241092,0.5116279069767442
BFR_V1,2020,5,215,-0.0178607538785975,-0.001646100534846,0.5023255813953489
BASELINE_GLOBAL,2021,1,11844,0.0003418484155551,0.0003844376207314,0.4817629179331307
BASELINE_GLOBAL,2021,3,11844,0.0026825664254234,0.0023892147122486,0.456095913542722
BASELINE_GLOBAL,2021,5,11844,0.0047858057164663,0.0042849384243933,0.4381965552178318
BFR_V1,2021,1,165,0.0022691205827454,0.0021194753813313,0.4303030303030303
BFR_V1,2021,3,165,0.0071470980173447,0.0056840291530186,0.406060606060606
BFR_V1,2021,5,165,0.0116427140303458,0.0103573192705814,0.3939393939393939
BASELINE_GLOBAL,2022,1,11797,2.13875873923434e-05,0.0003309690164268,0.4897007713825549
BASELINE_GLOBAL,2022,3,11797,-0.0008895620667853,0.0,0.4991099432058998
BASELINE_GLOBAL,2022,5,11797,-0.0016075099373351,-4.603854163953702e-05,0.5000423836568619
BFR_V1,2022,1,269,0.0009826171762582,9.262095035023066e-05,0.4907063197026022
BFR_V1,2022,3,269,0.0069913754684397,0.0061333119982758,0.4423791821561338
BFR_V1,2022,5,269,0.0013341420794092,0.0005584770056172,0.4981412639405204
BASELINE_GLOBAL,2023,1,11750,0.0008538834710148,0.0007461345447282,0.470468085106383
BASELINE_GLOBAL,2023,3,11750,0.0028015780860512,0.0019276989876252,0.4645106382978723
BASELINE_GLOBAL,2023,5,11750,0.0046516616377962,0.0028490444970169,0.4585531914893617
BFR_V1,2023,1,198,0.0019795585256385,0.0011068940048966,0.4646464646464646
BFR_V1,2023,3,198,0.0068446063630447,0.0058217401859059,0.3838383838383838
BFR_V1,2023,5,198,0.0100143400400355,0.0039022581563696,0.4292929292929293
BASELINE_GLOBAL,2024,1,11844,9.423357150877804e-06,0.0002889339410772,0.4873353596757852
BASELINE_GLOBAL,2024,3,11844,0.0017083775274175,0.0015353241659202,0.4714623438027693
BASELINE_GLOBAL,2024,5,11844,0.0033235179531197,0.0028331207639971,0.458966565349544
BFR_V1,2024,1,170,-0.0001197443063099,-0.0004500079369509,0.5294117647058824
BFR_V1,2024,3,170,0.0020414936788149,0.0001487296963349,0.4941176470588235
BFR_V1,2024,5,170,0.0063345696133068,0.0051451002046179,0.4352941176470588
BASELINE_GLOBAL,2025,1,10951,0.0004248569876211,0.0005575817775085,0.480138800109579
BASELINE_GLOBAL,2025,3,10951,0.0017784402684482,0.0020454549001187,0.4686330015523696
BASELINE_GLOBAL,2025,5,10951,0.0032633828855782,0.0041202951604899,0.4495479864852525
BFR_V1,2025,1,204,0.0006200536716169,0.0022282424993892,0.446078431372549
BFR_V1,2025,3,204,-0.0017994551367707,-0.0002828569200872,0.5049019607843137
BFR_V1,2025,5,204,0.0069584299493002,0.0066238468827907,0.4411764705882353
BFR_V2,ALL,1,514,0.0008725550937673,0.0001515157341134,0.4883268482490272
BFR_V2,ALL,3,514,0.0051333891321395,0.0032436623629932,0.4610894941634241
BFR_V2,ALL,5,514,0.0054374011351666,0.0062640036063376,0.4221789883268482
BFR_V2,2018,1,67,-0.0034155697857711,-0.0024540655426114,0.5970149253731343
BFR_V2,2018,3,67,-0.0006908455091809,-0.004043599508231,0.5522388059701493
BFR_V2,2018,5,67,0.0054882264481567,0.0090656554580508,0.417910447761194
BFR_V2,2019,1,34,0.003415442193044,0.00435967947027,0.3823529411764705
BFR_V2,2019,3,34,0.0034639278860035,0.0048403232393917,0.4117647058823529
BFR_V2,2019,5,34,0.0031588263361517,0.0062561001296836,0.4411764705882353
BFR_V2,2020,1,51,0.0065990527832881,0.0022998476627698,0.4705882352941176
BFR_V2,2020,3,51,0.0028861743674056,0.0030327559368652,0.4705882352941176
BFR_V2,2020,5,51,-0.0011729548011499,-0.0047789990535971,0.5686274509803921
BFR_V2,2021,1,69,0.0024373204660423,0.0004160261559287,0.463768115942029
BFR_V2,2021,3,69,0.0089205602561399,0.0046660788317347,0.4202898550724637
BFR_V2,2021,5,69,0.0108972380611129,0.0113099707321366,0.3188405797101449
BFR_V2,2022,1,89,0.001103022754169,0.0009957461755791,0.4719101123595505
BFR_V2,2022,3,89,0.0106608153948475,0.0130658955833631,0.4382022471910112
BFR_V2,2022,5,89,0.0040418716383377,0.002177678411533,0.4606741573033708
BFR_V2,2023,1,61,-0.0014067479530196,-0.0012678846756947,0.5081967213114754
BFR_V2,2023,3,61,0.0043825262237452,0.0034545687891212,0.4426229508196721
BFR_V2,2023,5,61,0.0088067101700514,0.0052285939754239,0.3934426229508196
BFR_V2,2024,1,72,-0.0012672824341405,9.874980423823624e-05,0.5
BFR_V2,2024,3,72,0.0025924854189826,-0.0010156613011768,0.5277777777777778
BFR_V2,2024,5,72,0.0046494420998355,0.0037708431374663,0.4583333333333333
BFR_V2,2025,1,71,0.0019066421189611,0.0008955152128582,0.4647887323943662
BFR_V2,2025,3,71,0.0056557175287713,0.0054351107090748,0.4084507042253521
BFR_V2,2025,5,71,0.0055764571449083,0.0087023277436586,0.352112676056338
BFR_V3,ALL,1,1490,0.0015024307498673,0.0005983239922956,0.4798657718120805
BFR_V3,ALL,3,1490,0.0034022442884877,0.0024753416407612,0.4630872483221476
BFR_V3,ALL,5,1490,0.0054842176229039,0.0063769929043531,0.4268456375838926
BFR_V3,2018,1,203,-0.0005060070430232,-0.0008850874539845,0.5221674876847291
BFR_V3,2018,3,203,-0.0013973452489482,-0.0029717047713173,0.5369458128078818
BFR_V3,2018,5,203,0.0094876548695949,0.0135179640106644,0.3251231527093596
BFR_V3,2019,1,125,0.0003982766130299,0.0012260817019875,0.472
BFR_V3,2019,3,125,0.0075554225277319,0.0090640485300643,0.376
BFR_V3,2019,5,125,0.0105324931100073,0.0103921316967463,0.352
BFR_V3,2020,1,182,0.0088479522986683,0.0042797770504122,0.3901098901098901
BFR_V3,2020,3,182,0.011156255405338,0.0031261231338366,0.4725274725274725
BFR_V3,2020,5,182,0.0034866542577502,-0.001858802718221,0.5164835164835165
BFR_V3,2021,1,152,0.0014981549405575,0.0009088528932582,0.4539473684210526
BFR_V3,2021,3,152,0.0080143320569635,0.0073586771229618,0.3618421052631579
BFR_V3,2021,5,152,0.0128032554234998,0.0080464772486529,0.3486842105263157
BFR_V3,2022,1,215,-0.002320721311054,-0.0017443273264329,0.5348837209302325
BFR_V3,2022,3,215,0.0002229489894288,0.0018122742171799,0.4883720930232558
BFR_V3,2022,5,215,-0.0021869044140687,0.0005873849695099,0.4976744186046511
BFR_V3,2023,1,217,-0.0014946941377762,-0.0011696453334656,0.5483870967741935
BFR_V3,2023,3,217,-0.0002093926607257,-0.0010723788692362,0.5161290322580645
BFR_V3,2023,5,217,0.0027357529728222,0.0025555763290763,0.4700460829493088
BFR_V3,2024,1,185,0.0014547855816647,0.0015235541811164,0.4324324324324324
BFR_V3,2024,3,185,0.001737932871741,0.001474716290025,0.4756756756756757
BFR_V3,2024,5,185,0.0051538265222103,0.005957850916314,0.4378378378378378
BFR_V3,2025,1,211,0.004775725963275,0.0022433320832342,0.4549763033175355
BFR_V3,2025,3,211,0.003961833632061,0.0044915150787869,0.4170616113744075
BFR_V3,2025,5,211,0.0060252650657775,0.0067247812831119,0.4218009478672986
