Window,Test_Year,ATR_Threshold,Return3D_Threshold,Horizon,Signal_Mean,Baseline_Mean,Excess,Win_Rate,Trades
W1,2022,0.032166953702956684,-0.01852249854917768,Future_Return_1D,-0.0009432133198354413,-2.13875873923434e-05,-0.0009218257324430978,0.5117647058823529,1700
W1,2022,0.032166953702956684,-0.01852249854917768,Future_Return_3D,-0.003466451836357992,0.000889562066785358,-0.004356013903143351,0.5305882352941177,1700
W1,2022,0.032166953702956684,-0.01852249854917768,Future_Return_5D,-0.004892224460985828,0.0016075099373351082,-0.006499734398320936,0.5376470588235294,1700
W1,2022,0.032166953702956684,-0.01852249854917768,Future_Return_10D,-0.005588096633911125,0.0029098497095466276,-0.008497946343457753,0.5364705882352941,1700
W2,2023,0.03413002821343543,-0.021337333809986193,Future_Return_1D,-0.004982351700158511,-0.0008538834710148556,-0.004128468229143656,0.5734767025089605,279
W2,2023,0.03413002821343543,-0.021337333809986193,Future_Return_3D,-0.013954706783053387,-0.0028015780860512172,-0.01115312869700217,0.6200716845878136,279
W2,2023,0.03413002821343543,-0.021337333809986193,Future_Return_5D,-0.017760237301416185,-0.004651661637796283,-0.013108575663619903,0.5949820788530465,279
W2,2023,0.03413002821343543,-0.021337333809986193,Future_Return_10D,-0.0294827774860446,-0.009017002902668457,-0.02046577458337614,0.6451612903225806,279
W3,2024,0.03285881800206248,-0.020593804458053876,Future_Return_1D,0.00047661331970152515,-9.423357150877804e-06,0.000486036676852403,0.4988066825775656,419
W3,2024,0.03285881800206248,-0.020593804458053876,Future_Return_3D,-0.00522756286411845,-0.0017083775274175906,-0.0035191853367008597,0.568019093078759,419
W3,2024,0.03285881800206248,-0.020593804458053876,Future_Return_5D,-0.010618792064532066,-0.003323517953119701,-0.007295274111412365,0.5751789976133651,419
W3,2024,0.03285881800206248,-0.020593804458053876,Future_Return_10D,-0.029255578453062783,-0.007178955161464362,-0.022076623291598423,0.5823389021479713,419
W4,2025,0.03195236668437052,-0.020017199990613962,Future_Return_1D,-0.005412927643206821,-0.0004248569876211124,-0.004988070655585709,0.5416666666666666,720
W4,2025,0.03195236668437052,-0.020017199990613962,Future_Return_3D,-0.009773603859670818,-0.0017784402684482947,-0.007995163591222524,0.5666666666666667,720
W4,2025,0.03195236668437052,-0.020017199990613962,Future_Return_5D,-0.013236589737106157,-0.0032633828855782045,-0.009973206851527952,0.5972222222222222,720
W4,2025,0.03195236668437052,-0.020017199990613962,Future_Return_10D,-0.024646909715989852,-0.006792979748864259,-0.017853929967125592,0.6361111111111111,720
