Hypothesis,Observations,Horizon,Mean,Median,Short_Win_Rate
BASELINE,93107,1,0.00022807860001141563,0.0003840089505728,0.4845285531700087
BASELINE,93107,3,0.0015898497275952334,0.0017048687728609,0.46986800133180107
BASELINE,93107,5,0.002962422308604464,0.0032065611571727,0.4567218361669907
1 — Accélération baissière 3v10 Q20,18622,1,0.0009274761569470203,0.00083761416332235,0.47427773601116957
1 — Accélération baissière 3v10 Q20,18622,3,0.002786554405503716,0.00276135915264805,0.4580603587154978
1 — Accélération baissière 3v10 Q20,18622,5,0.004987920927288957,0.00455603586773965,0.4508108688647836
2 — Accélération 3v10 Q20-Q40,18621,1,5.415947847360177e-05,0.0003565439536572,0.484238225659202
2 — Accélération 3v10 Q20-Q40,18621,3,0.0012363277747565434,0.0014252893895687,0.47317544707588205
2 — Accélération 3v10 Q20-Q40,18621,5,0.0021569939318594874,0.0027952937048856,0.4622200741098759
3 — Accélération 3v10 + sous SMA50,15714,1,0.0006701924559404319,0.0004640515297762,0.4840269823087692
3 — Accélération 3v10 + sous SMA50,15714,3,0.0023111509225967435,0.00193603922221225,0.47002672775868654
3 — Accélération 3v10 + sous SMA50,15714,5,0.004506943371442771,0.004036614831689,0.4572992236222477
4 — Accélération + sous SMA50 + sous SMA200,9067,1,0.0010757255675093885,0.000445779197415,0.4865997573618617
4 — Accélération + sous SMA50 + sous SMA200,9067,3,0.00304678837726453,0.0022278427010478,0.468622477114812
4 — Accélération + sous SMA50 + sous SMA200,9067,5,0.005750372411975702,0.0051341502347279,0.45108635711922357
5 — Accélération + baisse 3D modérée,17448,1,0.00024953703895439215,0.00052753950632895,0.47862219165520403
5 — Accélération + baisse 3D modérée,17448,3,0.0014374377908054911,0.00177359938946415,0.4669303071985328
5 — Accélération + baisse 3D modérée,17448,5,0.002081203327017145,0.00297577995440415,0.4590210912425493
6 — Accélération baissière 5v20 Q20,18556,1,0.0006496865412013775,0.00069774644254925,0.4776891571459366
6 — Accélération baissière 5v20 Q20,18556,3,0.002667908248112095,0.00234173020498255,0.4656714809226126
6 — Accélération baissière 5v20 Q20,18556,5,0.004833016628343367,0.0045573883296855,0.4536538046992886
7 — Accélération 5v20 Q20-Q30,9278,1,-4.4854415427982e-05,0.00043835214907310004,0.48318603147230005
7 — Accélération 5v20 Q20-Q30,9278,3,0.0014214537248800488,0.0019174047255837998,0.4643242078034059
7 — Accélération 5v20 Q20-Q30,9278,5,0.00244625736354828,0.00376627510979575,0.4510670403104117
8 — Accélération 1v5 Q20,18622,1,0.0007898109853103374,0.0005712255326278501,0.48405112232842873
8 — Accélération 1v5 Q20,18622,3,0.002305413108565538,0.00224864330242785,0.46810224465685746
8 — Accélération 1v5 Q20,18622,5,0.004228199850306402,0.00387272909980825,0.45553646224895283
9 — Accélération 3v10 + volume élevé,8336,1,0.0002798265774964358,0.00035668991028320004,0.48884357005758156
9 — Accélération 3v10 + volume élevé,8336,3,0.0011974266332585438,0.00145094521040185,0.4784069097888676
9 — Accélération 3v10 + volume élevé,8336,5,0.0037684522568213084,0.0038270098294674497,0.4541746641074856
10 — Accélération 3v10 + ATR élevé,8344,1,0.0018141468722298487,0.0010650571287591,0.47950623202301057
10 — Accélération 3v10 + ATR élevé,8344,3,0.006119786048446222,0.00617963796545195,0.4423537871524449
10 — Accélération 3v10 + ATR élevé,8344,5,0.010119172682628347,0.0097268186278204,0.42857142857142855
11 — Accélération + volume + sous SMA50,4886,1,0.00026120417211123766,0.0003119162304153,0.49038067949242736
11 — Accélération + volume + sous SMA50,4886,3,0.0011213951443803433,0.00145183040164695,0.4795333606221858
11 — Accélération + volume + sous SMA50,4886,5,0.003817629748732221,0.0040753756604362,0.4547687269750307
12 — Accélération + SPY faible,15307,1,0.0008403155311507292,0.0008071782203116,0.4743581368001568
12 — Accélération + SPY faible,15307,3,0.0021108678949651387,0.0025125628140703,0.4634480956425165
12 — Accélération + SPY faible,15307,5,0.003730376557701798,0.0042422885666071,0.45567387469785064
13 — Accélération + sous SMA50 + volume élevé,4886,1,0.00026120417211123766,0.0003119162304153,0.49038067949242736
13 — Accélération + sous SMA50 + volume élevé,4886,3,0.0011213951443803433,0.00145183040164695,0.4795333606221858
13 — Accélération + sous SMA50 + volume élevé,4886,5,0.003817629748732221,0.0040753756604362,0.4547687269750307
14 — Accélération + sous SMA50 + SPY faible,8510,1,0.0009099754569399402,0.0005792478563417501,0.4826086956521739
14 — Accélération + sous SMA50 + SPY faible,8510,3,0.0019090110528863554,0.0016454395608089,0.4763807285546416
14 — Accélération + sous SMA50 + SPY faible,8510,5,0.00421087442561401,0.004623172957026351,0.45581668625146887
15 — Accélération + tendance + volume,4886,1,0.00026120417211123766,0.0003119162304153,0.49038067949242736
15 — Accélération + tendance + volume,4886,3,0.0011213951443803433,0.00145183040164695,0.4795333606221858
15 — Accélération + tendance + volume,4886,5,0.003817629748732221,0.0040753756604362,0.4547687269750307
