Train_Start,Train_End,Test_Start,Test_End,Feature,Quartile,Train_N,Train_WinRate,Train_AvgPnL,Train_PF,Test_N,Test_WinRate,Test_AvgPnL,Test_PF,Test_TotalPnL,Baseline_Test_WinRate,Baseline_Test_AvgPnL,WinRate_Delta,AvgPnL_Delta
2018-01-01,2021-01-01,2021-01-01,2022-01-01,Signal_Drop,2,26,53.84615384615385,0.8443642513197455,1.878887609908477,16,31.25,-0.8707422641044925,0.4696903295255504,-13.93187622567188,47.27272727272727,-0.0024175543591135507,-16.022727272727273,-0.868324709745379
2018-01-01,2021-01-01,2021-01-01,2022-01-01,Distance_SMA20,3,26,61.53846153846154,0.8687421329185785,2.108619224201613,11,45.45454545454545,-0.04583850500237742,0.9530187907427626,-0.5042235550261516,47.27272727272727,-0.0024175543591135507,-1.8181818181818201,-0.043420950643263866
2018-01-01,2021-01-01,2021-01-01,2022-01-01,Distance_SMA50,1,26,53.84615384615385,0.4552452693771216,1.4972693277968925,11,36.36363636363637,-0.5619473221305792,0.6696669268962948,-6.181420543436371,47.27272727272727,-0.0024175543591135507,-10.909090909090907,-0.5595297677714657
2018-01-01,2021-01-01,2021-01-01,2022-01-01,Return_3D,3,26,65.38461538461539,0.5268198763386104,1.739794852872012,9,55.55555555555556,-0.19635289398073993,0.794248796938723,-1.7671760458266592,47.27272727272727,-0.0024175543591135507,8.282828282828284,-0.19393533962162637
2018-01-01,2021-01-01,2021-01-01,2022-01-01,Return_5D,2,26,65.38461538461539,0.9782163837750802,2.5862604126463427,17,52.94117647058824,0.4735646800394,1.3559193551160897,8.050599560669799,47.27272727272727,-0.0024175543591135507,5.668449197860966,0.47598223439851356
2018-01-01,2021-01-01,2021-01-01,2022-01-01,Return_10D,2,26,69.23076923076923,1.035396126110601,2.6120403096279525,14,64.28571428571429,1.5989194744357935,3.197054035460517,22.384872642101108,47.27272727272727,-0.0024175543591135507,17.01298701298702,1.6013370287949071
2018-01-01,2021-01-01,2021-01-01,2022-01-01,ATR_Pct,1,26,61.53846153846154,0.7512631817934019,2.2675133479201683,6,83.33333333333334,1.0457324982701433,4.182352010775763,6.27439498962086,47.27272727272727,-0.0024175543591135507,36.06060606060607,1.0481500526292569
2018-01-01,2021-01-01,2021-01-01,2022-01-01,Drop_ATR_Ratio,4,26,73.07692307692307,1.2112362541332138,4.0194055879966815,12,33.33333333333333,-1.1528097621939906,0.28524028006908597,-13.833717146327887,47.27272727272727,-0.0024175543591135507,-13.939393939393945,-1.150392207834877
2018-01-01,2021-01-01,2021-01-01,2022-01-01,Volume_Ratio,1,26,57.692307692307686,0.6198733895446108,1.7507589222032793,16,31.25,-0.9547571879314944,0.44242817286327224,-15.276115006903911,47.27272727272727,-0.0024175543591135507,-16.022727272727273,-0.9523396335723809
2018-01-01,2021-01-01,2021-01-01,2022-01-01,Negative_Days_5,1,68,50.0,0.1663726857672819,1.1555307299485607,37,40.54054054054054,-0.5705850325936992,0.6112099714853599,-21.11164620596687,47.27272727272727,-0.0024175543591135507,-6.732186732186733,-0.5681674782345857
2018-01-01,2021-01-01,2021-01-01,2022-01-01,SPY_Return,1,28,60.71428571428571,0.8233523948882601,1.987834056675313,7,85.71428571428571,2.66062791330813,10.017294500027786,18.62439539315691,47.27272727272727,-0.0024175543591135507,38.441558441558435,2.6630454676672435
2018-01-01,2021-01-01,2021-01-01,2022-01-01,SPY_Distance_SMA50,2,28,53.57142857142857,0.45524882229890207,1.5095942066799954,6,33.33333333333333,-1.0487223864999002,0.42667188633439124,-6.292334318999401,47.27272727272727,-0.0024175543591135507,-13.939393939393945,-1.0463048321407866
2018-01-01,2021-01-01,2021-01-01,2022-01-01,SPY_Volume_Ratio,3,28,60.71428571428571,0.6667443122181302,1.8162553570252051,8,87.5,1.2525603017237787,5.891470610172033,10.02048241379023,47.27272727272727,-0.0024175543591135507,40.22727272727273,1.2549778560828924
2019-01-01,2022-01-01,2022-01-01,2023-01-01,Signal_Drop,1,32,56.25,0.6845842654524391,1.7012795494691173,12,50.0,0.9926695710345083,2.188037488941341,11.912034852414099,39.285714285714285,0.14282382127706367,10.714285714285715,0.8498457497574445
2019-01-01,2022-01-01,2022-01-01,2023-01-01,Distance_SMA20,2,31,64.51612903225806,0.8607884796317675,2.118812611878321,5,40.0,0.707652838735928,1.7978514988441106,3.5382641936796397,39.285714285714285,0.14282382127706367,0.7142857142857153,0.5648290174588644
2019-01-01,2022-01-01,2022-01-01,2023-01-01,Distance_SMA50,3,31,54.83870967741935,0.3246938309272354,1.2936437379418189,10,40.0,0.25502008352159,1.1914742422712576,2.5502008352159002,39.285714285714285,0.14282382127706367,0.7142857142857153,0.11219626224452633
2019-01-01,2022-01-01,2022-01-01,2023-01-01,Return_3D,1,32,50.0,0.08460148612582992,1.0674624786802653,12,25.0,-0.49262791425870417,0.6635281601704219,-5.91153497110445,39.285714285714285,0.14282382127706367,-14.285714285714285,-0.6354517355357678
2019-01-01,2022-01-01,2022-01-01,2023-01-01,Return_5D,2,31,54.83870967741935,0.6255919001875058,1.5984493428318947,9,44.44444444444444,0.8150910816355377,1.8964109093880017,7.3358197347198395,39.285714285714285,0.14282382127706367,5.158730158730158,0.6722672603584741
2019-01-01,2022-01-01,2022-01-01,2023-01-01,Return_10D,2,31,64.51612903225806,1.0330604595529738,2.302435957517293,5,20.0,-1.089959832956822,0.4023634486316203,-5.4497991647841095,39.285714285714285,0.14282382127706367,-19.285714285714285,-1.2327836542338857
2019-01-01,2022-01-01,2022-01-01,2023-01-01,Drop_ATR_Ratio,3,31,64.51612903225806,1.0893514234645643,2.577345785335413,7,42.857142857142854,0.14758632078855718,1.1045301669272916,1.0331042455199002,39.285714285714285,0.14282382127706367,3.5714285714285694,0.004762499511493518
2019-01-01,2022-01-01,2022-01-01,2023-01-01,Volume_Ratio,2,31,61.29032258064516,0.8589638416309812,2.08584206291532,8,37.5,0.4422830242099562,1.4123287815141623,3.5382641936796495,39.285714285714285,0.14282382127706367,-1.7857142857142847,0.2994592029328925
2019-01-01,2022-01-01,2022-01-01,2023-01-01,Negative_Days_5,2,35,54.285714285714285,0.7516150619498815,1.7934973231903857,11,45.45454545454545,0.35147137957593194,1.3253737889865402,3.866185175335251,39.285714285714285,0.14282382127706367,6.1688311688311686,0.20864755829886827
2019-01-01,2022-01-01,2022-01-01,2023-01-01,SPY_Return,3,31,64.51612903225806,0.6912157487603189,1.7467382682814385,5,20.0,-0.6183006173171121,0.5647458078399179,-3.0915030865855604,39.285714285714285,0.14282382127706367,-19.285714285714285,-0.7611244385941758
2019-01-01,2022-01-01,2022-01-01,2023-01-01,SPY_Distance_SMA50,1,32,65.625,1.1612225368122921,2.4221427591535094,8,37.5,-0.14402544193872005,0.9016147524117769,-1.1522035355097604,39.285714285714285,0.14282382127706367,-1.7857142857142847,-0.28684926321578375
2019-01-01,2022-01-01,2022-01-01,2023-01-01,SPY_Volume_Ratio,3,31,67.74193548387096,0.8692974165320906,2.362339758980594,9,33.33333333333333,-0.05162025756047008,0.9619582785635166,-0.4645823180442307,39.285714285714285,0.14282382127706367,-5.952380952380956,-0.19444407883753376
2020-01-01,2023-01-01,2023-01-01,2024-01-01,Signal_Drop,4,30,56.666666666666664,0.5677396393725013,1.6255423029726392,6,33.33333333333333,-0.3679248541027064,0.7334538490643965,-2.2075491246162384,42.5,0.47172023212499486,-9.166666666666671,-0.8396450862277013
2020-01-01,2023-01-01,2023-01-01,2024-01-01,Distance_SMA20,2,30,66.66666666666666,1.314294257931385,3.120487523129685,12,41.66666666666667,0.13128221561629244,1.113844170895087,1.5753865873955095,42.5,0.47172023212499486,-0.8333333333333286,-0.3404380165087024
2020-01-01,2023-01-01,2023-01-01,2024-01-01,Distance_SMA50,2,30,50.0,0.313465229590582,1.2716548984846026,13,38.46153846153847,0.35993277281081376,1.351798572105794,4.6791260465405795,42.5,0.47172023212499486,-4.038461538461533,-0.1117874593141811
2020-01-01,2023-01-01,2023-01-01,2024-01-01,Distance_SMA200,2,30,53.333333333333336,0.2468054650453669,1.222861271376724,8,50.0,0.8938018566961452,1.806208106069958,7.150414853569162,42.5,0.47172023212499486,7.5,0.42208162457115034
2020-01-01,2023-01-01,2023-01-01,2024-01-01,Return_3D,4,30,53.333333333333336,0.38913869280835706,1.3575485154563334,5,20.0,-0.8717803074021199,0.47405368982906804,-4.3589015370106,42.5,0.47172023212499486,-22.5,-1.3435005395271147
